Designator,Footprint,Quantity,Value,LCSC Part #
C14,0603,1,1000pf,
"C22_1, C22_2, C22_3",0805,3,22uF,
C6,CP_Radial_D8.0mm_P3.50mm,1,150uF 35v,
C8,0603,1,0.1uF,
C9,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,2200uF,
CRBG1,0603,1,51pF,
CTRANS1,0805,1,10uF 50v,
Cvcc1,0805,1,10uF,
D1,TO-252-2,1,1N4007G,
D2,LED_0603,1,CHR LED,
D3,SOD-123,1,1N47xxA,
D4,LED_0603,1,14V LED,
J1,JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical,1,Conn_01x07_Pin,
"J3, J7",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,2,Conn_01x02_Pin,
"J5, J6",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,2,Conn_01x02_Pin,
LT3750,MSOP-10_W3mm,1,~,
Q1,tk20a60u,1,tk20a60u,
Q2,IRFP150NPbF,1,IRFP150NPbF,
R1,0603,1,100Ω,
"R2, RCHARGE1",0603,2,1kΩ,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,20kΩ,
R4,0603,1,10kΩ,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,470Ω,
RBG1,0201,1,2.49kΩ,
RDCM1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,42kΩ,
RDONE1,0603,1,100kΩ,
RSOURCE1,2512,1,0.01Ω,
RTRANS1,0603,1,0Ω,
RVOUT1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,30kΩ,
TRANS32052,32052,1,~,
