Designator,Mid X,Mid Y,Rotation,Layer
C14,102.9,-101.2,0.0,top
C22_1,95.6375,-95.74,180.0,top
C22_2,97.9,-93.51,180.0,top
C22_3,95.64,-97.97,180.0,top
C6,108.8,-100.6,0.0,top
C8,66.4,-91.1,225.0,top
C9,119.727387,-86.272614,315.0,top
CRBG1,98.2,-91.4,180.0,top
CTRANS1,101.9,-99.0,180.0,top
Cvcc1,95.6375,-100.2,180.0,top
D1,81.975,-114.465,270.0,top
D2,107.0,-112.4,180.0,top
D3,88.8,-116.0,90.0,top
D4,92.95,-112.4,180.0,top
J1,90.75,-108.0,0.0,top
J3,84.5,-73.15,180.0,top
J5,65.027387,-86.272614,225.0,top
J6,95.75,-123.0,180.0,top
J7,103.25,-73.15,180.0,top
LT3750,102.12,-94.3,0.0,top
Q1,105.7,-82.9,270.0,top
Q2,99.8,-116.75,180.0,bottom
R1,96.5,-112.4,0.0,top
R2,102.25,-121.75,180.0,top
R3,96.51,-74.2,180.0,top
R4,90.8,-112.0,270.0,top
R5,96.51,-70.3,180.0,top
RBG1,98.92,-89.9,180.0,top
RCHARGE1,102.7,-112.4,180.0,top
RDCM1,96.3,-86.51,90.0,top
RDONE1,99.4,-101.2,0.0,top
RSOURCE1,106.65,-92.0,90.0,top
RTRANS1,98.9,-96.37,270.0,top
RVOUT1,93.6,-86.495,90.0,top
TRANS32052,80.18,-91.83,90.0,top
