Designator,Mid X,Mid Y,Rotation,Layer
C1,114.75,-102.25,180.0,top
C2,111.25,-111.2,0.0,top
C4,118.0,-104.0,180.0,top
C5,114.6,-122.0,180.0,top
C6,111.925,-101.475,270.0,top
C7,109.9184,-101.462,270.0,top
C8,105.829,-101.475,270.0,top
C9,112.2,-109.4,0.0,top
D1,96.25,-80.5,90.0,top
D2,104.5,-98.75,180.0,top
D3,115.4625,-114.7,180.0,top
D4,115.5,-116.4,180.0,top
J1,119.1,-128.7,270.0,top
J2,100.0,-121.75,270.0,top
J4,91.96,-96.71,0.0,top
J5,131.21,-96.71,0.0,top
LT1,116.3,-106.6706,270.0,top
Q1,127.25,-86.75,0.0,bottom
R10,111.25,-113.0,180.0,top
R2,112.0,-106.6,90.0,top
R3,118.0,-102.25,180.0,top
R4,123.5,-100.25,90.0,top
R5,125.75,-100.25,90.0,top
R6,124.0,-112.75,180.0,top
R7,103.75,-101.4628,270.0,top
R8,112.3,-114.7,180.0,top
R9,111.2875,-116.4,180.0,top
RVTRANS1,113.25,-104.0,0.0,top
TP1,109.25,-104.5,0.0,top
TP2,106.25,-104.5,0.0,top
TP3,119.25,-100.25,0.0,top
TP4,122.7164,-103.25,0.0,top
TP5,122.75,-106.0,0.0,top
TP6,125.9396,-107.0,0.0,top
TP7,121.0,-109.0,0.0,top
TP8,125.75,-96.5,0.0,top
U1,112.17,-82.5,0.0,top
