Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0603,2,10u,
C2,0603,1,1000p,
C4,0603,1,51p,
C5,CP_Elec_8x6.7,1,150u,
"C6, C7, C8",0603,3,22u,
D1,D_SMA,1,1N4007G,
"D2, D3, D4",0603,3,LED,
J1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12_Socket,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"J4, J5",PinHeader_2x02_P2.54mm_Vertical,2,Conn_01x04_Socket,
LT1,MSOP-10_W3mm,1,~,
Q1,tk20a60u,1,tk20a60u,
"R10, R2",0603,2,100k,
R3,0603,1,2.49k,
R4,0603,1,30k,
R5,0603,1,42k,
R6,2512,1,10m,
R7,0603,1,20k,
"R8, R9",0603,2,1k,
RVTRANS1,0603,1,0,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,8,TestPoint_Probe,
U1,32052,1,~,
