Designator,Mid X,Mid Y,Rotation,Layer
BNO55,185.166,-96.774,180.0,top
C1,124.46,-79.756,90.0,top
C2,131.572,-91.42,90.0,top
Connector_Rasp1,134.62,-134.62,270.0,top
Connector_Sub1,116.84,-134.62,270.0,top
D1,121.158,-45.212,180.0,top
D2,153.67,-97.79,90.0,top
D3,157.988,-97.79,90.0,top
D4,153.924,-106.426,270.0,top
D5,118.613,-52.07,0.0,top
F446RE_CN10,167.64,-63.5,0.0,bottom
F446RE_CN7,109.22,-63.5,0.0,bottom
J1,154.965,-79.014,0.0,top
LS1,142.748,-104.394,0.0,top
MCP2562,127.518,-76.464,0.0,top
MCP25625,145.542,-80.474,90.0,top
NMOS1,152.444,-102.174,0.0,top
R1,133.858,-96.266,270.0,top
R2,98.044,-45.212,0.0,top
R3,162.052,-74.168,270.0,bottom
R4,176.53,-99.568,90.0,top
R5,180.848,-99.568,90.0,top
R6,149.86,-119.126,180.0,top
R7,134.62,-115.824,0.0,top
R8,113.03,-52.07,180.0,top
R9,119.126,-64.77,270.0,top
TFT1,162.56,-43.18,270.0,top
TFT2,139.7,-43.18,270.0,top
TFT3,142.24,-124.46,90.0,top
XIAO,145.796,-60.96,270.0,top
Y2,147.066,-88.646,0.0,top
