Designator,Mid X,Mid Y,Rotation,Layer
C1,24.003,-8.8,0.0,top
C10,-34.5625,29.4,180.0,bottom
C11,42.3672,-18.3388,270.0,top
C12,37.4,7.8,270.0,top
C13,37.338,-18.3388,90.0,top
C14,20.32,-24.511,180.0,top
C15,19.939,-12.894,180.0,top
C16,7.3152,5.3,0.0,top
C17,19.939,-11.303,180.0,top
C18,14.097,-24.638,0.0,top
C2,17.6,-8.8,180.0,top
C3,27.5,-8.8,0.0,top
C4,12.7,-5.2832,270.0,top
C5,13.6144,2.5908,270.0,top
C6,16.8656,6.35,180.0,top
C7,29.4,2.0,90.0,top
C8,11.7375,-11.2,0.0,top
C9,49.7625,-1.2,180.0,top
D1,47.8,6.625,270.0,top
D10,45.2,6.625,270.0,top
D11,49.4,17.275,90.0,top
D12,38.46,-11.28,0.0,top
D13,-59.4,-8.075,90.0,top
D14,-61.0,-8.075,90.0,top
D2,49.4,6.625,270.0,top
D3,47.8,17.275,90.0,top
D4,8.8,13.2,90.0,top
D5,6.3,13.2,90.0,top
D6,8.3463,-8.75,270.0,top
D7,43.6,6.625,270.0,top
D8,43.6,17.275,90.0,top
D9,45.2,17.275,90.0,top
J1,-10.25,-1.518916,0.0,top
J11,-58.33,-4.604,270.0,bottom
J12,-58.18,-13.57,270.0,bottom
J13,-39.37,-22.275,0.0,bottom
J14,-28.194,-22.275,0.0,bottom
J15,35.56,-1.26,0.0,top
J16,-17.78,-24.225,180.0,bottom
J2,-5.14,15.24,270.0,bottom
J3,48.595,-15.06,90.0,top
J4,-5.69,-24.57,90.0,top
J5,-5.02,-24.075,0.0,bottom
J6,-15.87,-13.843,90.0,top
J7,-58.293,-22.638,270.0,bottom
LS1,29.452,-18.034,0.0,top
Q1,30.436,-26.289,0.0,top
Q2,14.3025,-21.971,180.0,top
Q3,18.4635,-21.971,180.0,top
R1,39.723,-1.398,90.0,top
R10,8.7019,-13.0,90.0,top
R11,6.6463,-13.0,270.0,top
R12,43.6,10.195,90.0,top
R13,43.6,13.7875,270.0,top
R14,45.2,13.7875,270.0,top
R15,45.2,10.195,90.0,top
R16,49.4,13.7875,270.0,top
R18,-59.4,-4.6485,270.0,top
R19,-61.0,-4.6375,270.0,top
R2,47.8,10.195,270.0,top
R20,7.2875,-5.2832,180.0,top
R22,14.097,-26.289,180.0,top
R23,20.32,-26.162,180.0,top
R3,39.8545,-19.05,180.0,top
R4,39.8602,-17.399,180.0,top
R5,49.4,10.2075,90.0,top
R6,47.8,13.7875,270.0,top
R7,26.289,-26.162,0.0,top
R8,2.3875,1.1176,180.0,bottom
R9,2.3875,-0.6096,180.0,bottom
ROTSW1,-58.547,5.683,90.0,top
SW1,49.979,-5.25,270.0,top
SW2,-58.6,25.65,90.0,top
SW3,-58.6,15.9,90.0,top
SW4,44.2,-2.8,90.0,top
U1,21.717,-1.27,270.0,top
U2,39.878,-14.5645,90.0,top
U3,19.0225,11.12,0.0,top
U4,-45.72,6.365,0.0,top
U5,-45.72,-11.42,0.0,top
U6,-3.81,0.0,0.0,top
U7,15.621,-16.51,180.0,top
U8,7.205,0.775,180.0,top
Y1,13.3096,-1.016,270.0,top
