Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0603,2,4.7u,
"C10, C11, C12, C13, C16, C17, C2, C3, C4, C5, C6, C7",0603,12,0.1u,
"C14, C15, C18, C22, C26, C9",0603,6,1u,
"C19, C20, C24",CP_Elec_8x10.5,3,1000u,
C23,CP_Elec_6.3x5.4_Nichicon,1,100u,
"D1, D10, D11, D13, D14, D15, D3, D7, D8, D9",0603,10,LED,
D16,D_SMB,1,SR54F,
D6,D_SOD-123,1,1N4148W,
"H1, H2, H4, H5",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,raspberreyPi_2_3,1,Raspberry_Pi_2_3,
J14,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,UART,
J15,PinHeader_1x04_P2.54mm_Vertical,1,TFT3,
J16,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CAN_CON,
J2,2816,1,fan,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J4,R_MiniMELF_MMA-0204,1,metor,
J6,JST_XH_S7B-XH-A_1x07_P2.50mm_Horizontal,1,Debug,
J8,Molex_SPOX_5268-05A_1x05_P2.50mm_Horizontal,1,MOLEX MINISPOX,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
"Q1, Q2",SOT-23-3,2,Q_NMOS_GSD,
"R1, R7",0603,2,10k,
R10,0603,1,4.7k,
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R6",0603,11,1k,
R20,0603,1,120,
"R3, R4",0603,2,5.1k,
"R8, R9",0603,2,2.2k,
ROTSW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
"SW1, SW5, SW6",SW_SKRPACE010,3,SW_MEC_5E,
SW2,SW_PUSH_6mm_H7.3mm,1,Ras_1,
SW3,SW_PUSH_6mm_H7.3mm,1,Ras_2,
SW4,slideSW,1,SW_Wuerth_450301014042,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U10,PinHeader_1x10_P2.54mm_Vertical,1,MPU9250,
U11,TO-263-3_TabPin2,1,LM1084-5.0,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U3,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
U4,PinHeader_1x13_P2.54mm_Vertical,1,~,
U6,PinHeader_1x04_P2.54mm_Vertical,1,BNO055,
U7,SOT-223-3_TabPin2,1,AZ1117-3.3,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
U9,SOT-23-3,1,~,
Y1,OSC_CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
