Designator,Footprint,Quantity,Value,LCSC Part #
BNO55,PinSocket_1x04_P2.54mm_Vertical,1,~,
"C1, C2",C_Disc_D3.8mm_W2.6mm_P2.50mm,2,C,
Connector_Rasp1,PinSocket_1x05_P2.54mm_Vertical,1,~,
Connector_Sub1,PinSocket_1x06_P2.54mm_Vertical,1,~,
"D1, D5",LED_D3.0mm,2,LED,
"D2, D3",D_A-405_P7.62mm_Horizontal,2,D,
D4,D_A-405_P12.70mm_Horizontal,1,D,
"F446RE_CN10, F446RE_CN7",PinSocket_1x19_P2.54mm_Vertical,2,~,
J1,PinSocket_1x02_P2.54mm_Vertical,1,debug,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
MCP2562,DIP-8_W7.62mm,1,MCP2562-E-P,
MCP25625,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP25625-x-SS,
NMOS1,SOT95P240X111-3N,1,BSS138,
R1,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,1kR,
R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,600R,
"R3, R9",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,120,
"R4, R5",R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,2,2.2k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,470k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,100k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,R,
TFT1,PinHeader_1x08_P2.54mm_Vertical,1,~,
"TFT2, TFT3",PinHeader_1x04_P2.54mm_Vertical,2,~,
XIAO,MOUDLE14P-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
Y2,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm_HandSoldering,1,Crystal_GND24,
