Designator,Footprint,Quantity,Value,LCSC Part #
"BNO55, TFT2",PinSocket_1x04_P2.54mm_Vertical,2,~,
"C1, C3",0603,2,4.7u,
"C10, C11, C14, C15, C16",0603,5,0.1u,
"C12, C13, C2, C4, C5, C6, C7, C8, C9",0603,9,0.1uF,
Connector_Sub1,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,1,~,
D1,0603,1,LED_main,
"D2, D3, D4",D_SOD-123,3,1N4148W,
D5,0603,1,LED_Ras1,
D6,0603,1,LED_Ras2,
D7,0603,1,LED_USB,
D8,0603,1,LED_volt,
D9,0603,1,LED_Debug,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3,
J2,fan_pad,1,fan,
J3,PinSocket_1x07_P2.54mm_Vertical,1,Debug,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,
J5,PinSocket_1x03_P2.54mm_Vertical,1,Can_debug,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
Q1,SOT95P240X111-3N,1,NMOS,
R1,0603,1,1k,
R10,0603,1,120,
"R11, R14, R2",0603,3,470,
"R12, R13",0603,2,5.1k,
"R15, R3, R8, R9",0603,4,300,
"R4, R5",0603,2,2.2k,
R6,0603,1,470k,
R7,0603,1,100k,
SW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
SW2,SW_PUSH_6mm_H7.3mm,1,Ras_1,
SW3,SW_PUSH_6mm_H7.3mm,1,Ras_2,
SW4,SW_PUSH_6mm_H7.3mm,1,NRST,
SW5,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,Boot,
TFT1,PinSocket_1x08_P2.54mm_Vertical,1,~,
U1,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
U2,DIP-8_W7.62mm,1,MCP2562-E-P,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
