Designator,Mid X,Mid Y,Rotation,Layer
C1,-14.7,-37.37,90.0,bottom
C10,-13.1,-37.37,90.0,bottom
C11,-10.414,-27.0275,270.0,bottom
C2,10.8,-17.4575,90.0,bottom
C3,-15.5448,-27.0256,315.0,bottom
C4,-12.2,-15.8325,270.0,bottom
C5,-19.7,-34.82,135.0,bottom
C6,-23.6728,-30.5816,225.0,bottom
C7,-24.7396,-31.75,225.0,bottom
C8,-2.0,-33.27,270.0,bottom
C9,-4.0,-33.17,270.0,bottom
D1,-15.4432,-19.7612,90.0,top
F1,24.3332,-30.0228,45.0,bottom
J1,22.606,-19.3548,315.0,top
J2,2.921,-7.667,90.0,top
J3,-2.921,-7.667,90.0,top
J4,-6.2,-23.12,0.0,top
J5,-6.2,-28.62,0.0,top
PMOS1,4.935,-17.445,0.0,bottom
PMOS2,-4.935,-17.445,180.0,bottom
R1,9.2,-17.4575,90.0,bottom
R2,-12.2,-19.145,90.0,bottom
R3,-14.7828,-19.558,45.0,bottom
SW1,-2.5,-37.32,0.0,top
U1,-22.5552,-22.0472,315.0,bottom
U2,-8.6,-36.02,90.0,bottom
