Designator,Footprint,Quantity,Value,LCSC Part #
C2,0603,1,0.1u,
"C3, C5",CP_Elec_8x10.5,2,330u,
"C4, C6",0603,2,10u,
D1,0603,1,LED,
F1,Fuseholder_Blade_Mini_Keystone_3568,1,Fuse,
F2,Fuse,1,re Fuse,DNP
J1,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,XT30_Female,
"J2, J3",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,2,XT30,
J4,Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,1,Conn_01x05_Socket,
J5,PinSocket_1x02_P2.54mm_Vertical,1,~,C3021286
"PMOS1, PMOS2",TO-252-2,2,TJ60S04M3L,
PS1,CONV_P783F-Q24-S6-S,1,P783F-Q24-S6-S,
"R1, R2, R3, R5",0603,4,10k,
R4,0603,1,1k,
SW1,SW_E-Switch_EG1271_SPDT,1,SW_DPST_x2,
U1,SOT-23-5_HandSoldering,1,~,
