Designator,Mid X,Mid Y,Rotation,Layer
C2,11.229,-22.223,90.0,bottom
C3,-6.24,-22.098,0.0,top
C4,-5.1835,-36.957,180.0,bottom
C5,6.35,-22.098,0.0,top
C6,5.08,-37.084,0.0,bottom
D1,-14.859,-18.542,90.0,top
F1,24.0284,-24.2824,135.0,top
F2,22.670065,-20.576634,135.0,top
J1,22.352,-36.068,90.0,top
J2,2.921,-7.667,90.0,top
J3,-2.921,-7.667,90.0,top
J4,-5.0,-15.24,0.0,top
J5,16.129,-11.43,315.0,top
PMOS1,4.792,-22.224,0.0,bottom
PMOS2,-4.686,-22.217,180.0,bottom
PS1,0.0,-39.37,0.0,top
R1,9.705,-22.223,90.0,bottom
R2,-14.2745,-19.556,0.0,bottom
R3,-13.081,-18.542,90.0,top
R4,7.366,-3.683,45.0,top
R5,-14.2745,-24.89,0.0,bottom
SW1,11.663534,-10.520534,135.0,top
U1,-13.716,-22.223,0.0,bottom
