Designator,Mid X,Mid Y,Rotation,Layer
C8,85.572,-49.834,0.0,top
D2,70.772,-58.324,180.0,top
D3,115.348,-58.07,0.0,top
J10,80.296,-70.262,270.0,top
J3,76.486,-58.324,90.0,top
J4,109.506,-58.244,90.0,top
J6,72.93,-69.246,45.0,bottom
J7,113.316,-69.246,135.0,bottom
J8,72.168,-45.37,0.0,top
J9,111.538,-45.37,0.0,top
Q2,65.818,-51.858,270.0,top
Q3,120.428,-51.858,270.0,top
R10,116.047,-53.244,0.0,bottom
R11,116.047,-50.958,0.0,bottom
R8,70.327,-53.244,180.0,bottom
R9,70.327,-50.958,180.0,bottom
