Designator,Mid X,Mid Y,Rotation,Layer
C1,-7.0,1.0,270.0,top
C2,7.0,1.0,270.0,top
J1,-26.7,5.0,55.0,top
J10,17.0,-4.0,90.0,top
J11,-19.65,18.3,270.0,top
J12,-17.45,26.6,180.0,top
J13,19.35,26.6,180.0,top
J14,-6.25,-13.1,0.0,top
J15,-6.25,-19.6,0.0,top
J17,-7.67,-26.7,90.0,top
J2,18.25,-16.5,225.0,top
J3,-22.5,-10.75,315.0,top
J4,28.95,-0.365381,305.0,top
J5,-29.3,-3.8,55.0,top
J6,-15.182233,-17.767767,135.0,top
J7,23.0,-9.75,225.0,top
J8,23.250581,5.54788,305.0,top
J9,-17.0,-4.0,90.0,top
R1,18.5,23.5,180.0,top
R2,-18.45,22.6,180.0,top
