Designator,Mid X,Mid Y,Rotation,Layer
C1,120.396,-107.0545,0.0,top
C2,110.49,-119.634,0.0,top
C3,103.462,-97.79,90.0,top
C4,105.212,-97.79,90.0,top
C5,106.962,-97.79,90.0,top
C6,108.712,-97.79,90.0,top
C7,120.396,-105.2765,0.0,top
C8,102.05,-140.1,0.0,top
D1,92.202,-79.75,90.0,top
D2,87.25,-148.59,180.0,top
D3,131.826,-148.336,0.0,top
D4,101.6,-94.501,270.0,top
D5,108.712,-112.014,180.0,top
D6,113.03,-109.5945,180.0,top
J1,88.138,-94.996,0.0,top
J10,96.774,-160.528,270.0,top
J11,96.52,-119.888,270.0,top
J2,127.508,-94.996,0.0,top
J3,92.964,-148.59,90.0,top
J4,125.984,-148.51,90.0,top
J5,115.79,-127.254,270.0,top
J6,89.408,-159.512,45.0,bottom
J7,129.794,-159.512,135.0,bottom
J8,88.646,-135.636,0.0,top
J9,128.016,-135.636,0.0,top
L1,113.542,-104.5745,270.0,top
Q1,124.206,-85.336,0.0,bottom
Q2,82.296,-142.124,270.0,top
Q3,136.906,-142.124,270.0,top
R1,101.6,-97.803,90.0,top
R10,132.525,-143.51,0.0,bottom
R11,132.525,-141.224,0.0,bottom
R12,113.093,-112.014,180.0,top
R2,101.092,-111.8805,0.0,top
R3,109.474,-109.5945,0.0,top
R4,99.568,-102.4825,0.0,top
R5,101.092,-105.0225,0.0,top
R6,101.092,-107.8165,0.0,top
R7,101.092,-109.8485,0.0,top
R8,86.805,-143.51,180.0,bottom
R9,86.805,-141.224,180.0,bottom
RBG1,123.19,-102.9905,180.0,top
RDCM1,119.634,-97.1485,90.0,top
RSENSE1,121.412,-112.522,0.0,top
RVOUT1,122.682,-97.1485,90.0,top
RVTRANS1,110.49,-99.1805,270.0,top
TP1,108.204,-100.838,0.0,top
TP10,118.618,-109.3405,0.0,top
TP11,115.57,-93.98,0.0,top
TP2,105.156,-102.4825,0.0,top
TP3,105.156,-105.0225,0.0,top
TP4,105.156,-107.8165,0.0,top
TP5,105.156,-110.6105,0.0,top
TP6,116.332,-99.4345,0.0,top
TP7,119.888,-100.4505,0.0,top
TP8,119.888,-102.9905,0.0,top
TP9,123.698,-100.33,0.0,top
U1,108.104,-80.772,0.0,top
