Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7",0603,6,10u,
C2,CP_Elec_10x12.5,1,220u,
D1,D_SMA,1,US1M,
"D4, D5, D6",0603,3,LED,
"J1, J2",PinHeader_2x02_P2.54mm_Vertical,2,Conn_01x04_Socket,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J5,PinHeader_2x06_P2.54mm_Vertical,1,Conn_01x12_Socket,
L1,TSSOP-20-1EP_W4.4mm,1,~,
Q1,tk20a60u,1,NMOS,
R1,0603,1,20k,
R12,0603,1,100k,
"R2, R3, RBG1",0603,3,1k,
"R4, R5",0603,2,133k,
"R6, R7",0603,2,40k,
RDCM1,0603,1,11.5k,
RSENSE1,2512,1,2.5m,
"RVOUT1, RVTRANS1",0603,2,25.5k,
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork,11,TestPoint_Probe,
U1,32052,1,~,
