Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0603,2,10u,
"C10, C11, C12, C13, C18, C3",0603,6,0.1u,
"C14, C15, C16, C17",0603,4,1u,
C2,0603,1,1000p,
C4,0603,1,51p,
C5,CP_Radial_D5.0mm_P2.00mm,1,100u,
"C6, C7, C8",0603,3,22u,
D1,D_SMA,1,1N4007G,
"D10, D6, D7, D8, D9",0603,5,LED,
D2,Nexperia_CFP3_SOD-123W,1,SS2040FL,
D3,Nexperia_CFP3_SOD-123W,1,D,
FB1,0805,1,FerriteBead,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Socket,
"J2, J3, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Socket,
"J5, J7",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
LT1,MSOP-10_W3mm,1,~,
"PC1, PC2",MFSOP6-5_4.4x3.6mm_P1.27mm,2,TLP152,
Q1,tk20a60u,1,tk20a60u,
"R1, R12",0603,2,100,
"R10, R2",0603,2,100k,
R11,0603,1,10,
"R13, R14, R16, R18, R19, R7, R8, R9",0603,8,1k,
"R17, R21",0603,2,10k,
R3,0603,1,2.49k,
R4,0603,1,30k,
R5,0603,1,42k,
R6,2512,1,10m,
RVTRANS1,0603,1,0,
"SW1, SW2",SKRPACE010,2,SW_Push,
U1,32052,1,~,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U4,SOIC-8_W3.9mm,1,MAX3051,
U6,TSOT-23,1,AZ1117-3.3,
Y2,CSTNE16M0V530000R0_MUR,1,CSTNE16M0V530000R0,
