Designator,Mid X,Mid Y,Rotation,Layer
_4,14.00001,5.0,0.0,top
_3,11.57001,-22.609359,0.0,top
_2,-11.42999,-22.609359,0.0,top
,-13.99999,5.0,0.0,top
C1,6.0,4.0,270.0,top
C2,18.0,0.0,270.0,top
C3,-18.0,0.0,270.0,top
C4,-6.0,4.0,270.0,top
D1,18.288,13.716,180.0,top
D2,18.288,15.748,180.0,top
J1,-22.5,5.0,235.0,top
J10,10.0,-7.0,315.0,top
J11,-19.0,11.0,90.0,top
J12,-16.0,22.5,180.0,top
J13,18.0,22.5,180.0,top
J14,-5.0,-14.0,0.0,top
J15,-5.0,-20.0,0.0,top
J16,-1.25,-8.0,0.0,top
J18,-7.56,-24.0,270.0,bottom
J19,-7.56,-27.0,270.0,bottom
J2,14.5,-18.0,45.0,top
J3,-22.0,-10.5,315.0,top
J4,28.5,-3.5,125.0,top
J5,-28.5,-3.5,55.0,top
J6,-14.5,-18.0,135.0,top
J7,22.0,-10.5,225.0,top
J8,22.5,5.0,305.0,top
J9,-10.0,-7.0,225.0,top
R1,13.97,17.526,180.0,top
R2,-18.859,19.812,0.0,top
R3,18.288,11.684,180.0,top
R4,13.97,15.748,0.0,top
