Designator,Mid X,Mid Y,Rotation,Layer
C1,7.239,4.572,270.0,top
C10,-0.381,-16.51,270.0,top
C11,1.016,0.254,270.0,top
C12,-6.096,-13.208,0.0,top
C13,-2.032,-12.319,270.0,top
C14,-12.7,-9.144,180.0,top
C15,-15.24,-1.778,270.0,top
C16,-2.667,-19.177,0.0,top
C17,-3.683,-12.319,270.0,top
C18,-6.096,-14.859,0.0,top
C2,9.652,-1.905,0.0,top
C3,-1.651,-0.635,180.0,top
C4,9.906,4.572,90.0,top
C5,-7.172888,-9.144,0.0,bottom
C6,1.778,4.077,270.0,top
C7,0.0,4.077,270.0,top
C8,-1.778,4.077,270.0,top
C9,3.556,4.077,90.0,top
D1,-18.0,24.0,90.0,top
D10,12.954,-5.207,180.0,top
D2,-1.905,-21.082,0.0,top
D6,12.192,-18.288,135.0,top
D7,13.6144,-16.8148,135.0,top
D8,-5.4355,5.08,180.0,top
D9,10.668,-19.812,135.0,top
FB1,-1.905,1.397,0.0,top
J1,13.462,-10.16,135.0,top
J2,-15.0,4.5,90.0,bottom
J3,-24.0,8.0,270.0,bottom
J4,24.0,8.0,90.0,bottom
J5,-7.56,-27.0,90.0,top
J7,-7.56,-24.0,90.0,top
LT1,9.652,1.27,270.0,top
PC1,-10.287,-5.969,180.0,top
PC2,-10.287,-1.651,180.0,top
Q1,17.4,11.0,0.0,bottom
R1,-4.572,-6.35,270.0,top
R10,9.652,-3.556,180.0,top
R11,3.302,-20.955,0.0,top
R12,-4.572,-3.048,90.0,top
R13,-12.827,1.524,180.0,top
R14,9.906,-16.002,315.0,top
R16,11.303,-14.5288,315.0,top
R17,-8.636,4.191,90.0,top
R18,8.382,-17.526,315.0,top
R19,9.652,-5.207,0.0,top
R2,9.652,-6.858,180.0,top
R21,9.652,-8.636,0.0,top
R3,11.684,4.572,90.0,top
R4,13.462,4.572,90.0,top
R5,14.986,4.572,90.0,top
R6,18.034,1.27,225.0,top
R7,-16.51,0.635,0.0,top
R8,10.414,-11.43,135.0,bottom
R9,10.668,-13.462,135.0,bottom
RVTRANS1,5.207,4.064,90.0,top
SW1,18.796,-16.002,315.0,bottom
SW2,13.335,-21.463,315.0,bottom
U1,0.0,18.0,0.0,top
U2,2.5,-7.0,270.0,top
U4,3.302,-16.383,180.0,top
U6,-6.096,-18.121,270.0,top
Y2,3.499,0.0,180.0,top
