Designator,Mid X,Mid Y,Rotation,Layer
C1,213.878,-84.3592,270.0,top
C10,235.087,-85.8025,90.0,top
C11,235.087,-100.793,270.0,top
C12,233.055,-85.8025,90.0,top
C13,233.055,-100.793,270.0,top
C14,231.023,-85.8025,90.0,top
C15,231.023,-100.793,270.0,top
C16,214.767,-87.331,180.0,top
C17,228.991,-85.8025,90.0,top
C18,228.991,-100.793,270.0,top
C19,214.767,-88.855,180.0,top
C2,243.215,-85.8025,90.0,top
C20,223.403,-85.807,90.0,top
C21,225.435,-85.807,90.0,top
C22,221.117,-85.807,270.0,top
C23,219.339,-85.807,270.0,top
C24,211.2364,-96.5297,270.0,top
C25,226.705,-91.014,0.0,top
C26,205.75,-96.5297,270.0,top
C27,187.5128,-93.046,180.0,top
C28,202.0924,-97.0592,0.0,top
C29,188.986,-95.9416,180.0,top
C3,243.215,-100.793,270.0,top
C30,188.3764,-86.95,90.0,top
C31,194.6756,-83.1908,0.0,top
C32,202.0924,-84.7148,0.0,top
C33,204.6832,-87.1532,0.0,top
C34,205.9024,-93.7572,180.0,top
C35,172.6792,-95.6368,90.0,bottom
C36,172.6792,-90.76,270.0,bottom
C4,241.183,-85.8025,90.0,top
C5,241.183,-100.793,270.0,top
C6,239.151,-85.8025,90.0,top
C7,239.151,-100.793,270.0,top
C8,237.119,-85.8025,90.0,top
C9,237.119,-100.793,270.0,top
D1,193.1535,-100.9708,0.0,top
D2,193.1535,-102.5456,0.0,top
D3,181.7461,-97.5864,0.0,top
D4,181.7461,-95.96,0.0,top
F1,222.3205,-96.475,180.0,bottom
F2,213.878,-96.475,0.0,bottom
J1,246.898,-93.3,90.0,top
J2,179.54,-85.087,0.0,top
J3,216.244,-101.57,180.0,top
J4,182.54,-101.513,180.0,top
R1,217.0276,-95.332,0.0,top
R10,231.528,-91.161,0.0,top
R11,230.385,-92.431,180.0,top
R12,231.528,-94.209,0.0,top
R13,230.385,-95.479,180.0,top
R14,231.528,-96.749,0.0,top
R15,230.385,-98.019,180.0,top
R16,231.023,-93.3,0.0,bottom
R17,215.275,-92.157,180.0,top
R18,215.275,-93.173,0.0,top
R19,226.705,-83.14,0.0,bottom
R2,216.291,-85.045,0.0,top
R20,226.705,-84.664,0.0,bottom
R21,181.2136,-89.8456,90.0,top
R22,182.8392,-89.8456,270.0,top
R23,171.1044,-95.6368,270.0,bottom
R24,196.5552,-100.9708,180.0,top
R25,196.5552,-102.5456,180.0,top
R26,185.1252,-97.5672,180.0,top
R27,185.1252,-95.9416,180.0,top
R28,183.4977,-93.0968,0.0,top
R29,171.1044,-90.76,90.0,bottom
R3,217.0276,-94.316,180.0,top
R30,226.705,-86.188,0.0,bottom
R31,226.705,-87.712,0.0,bottom
R4,216.291,-86.061,180.0,top
R5,210.2966,-90.6959,180.0,top
R6,215.275,-90.125,180.0,top
R7,215.275,-91.141,0.0,top
R8,231.528,-88.621,0.0,top
R9,230.385,-89.891,180.0,top
REG1,208.5073,-96.5297,90.0,top
SW1,203.3116,-101.7344,180.0,top
SW2,171.925,-95.654,0.0,top
SW3,177.91,-93.3,90.0,top
SW4,171.925,-90.828,180.0,top
U1,210.2966,-86.3779,180.0,top
U2,236.481,-90.526,0.0,top
U3,236.481,-96.114,0.0,top
U4,219.593,-90.633,270.0,top
U5,196.098,-90.887,180.0,top
Y1,205.9024,-84.0544,90.0,top
