Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",CP_Radial_D10.0mm_P5.00mm,4,1000u,
"D1, D2",0603,2,LED,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole,
"J1, J12, J13, J17, J2, J3, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,7,Conn_01x02_Socket,
J10,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,Conn_01x02_Socket,
J11,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,1,Conn_01x03_Socket,
"J14, J15",Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,2,Conn_01x05_Socket,
"J16, J5, J6, J7, J8",Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,5,Conn_01x02_Socket,
"J18, J19",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Socket,
R1,0603,1,470,
"R2, R3",0603,2,20k,
R4,0603,1,2k,
R5,0603,1,200Ω,
