Designator,Mid X,Mid Y,Rotation,Layer
C1,6.0,1.632323,270.0,top
C2,17.5,-2.367677,270.0,top
C3,-17.5,-2.367677,270.0,top
C4,-6.0,1.632323,270.0,top
D1,19.9375,18.8,180.0,top
D2,19.95,20.6,180.0,top
J1,-22.676957,4.234619,235.0,top
J10,11.1,-8.7,135.0,top
J11,-19.25,14.0,90.0,top
J12,-17.0,25.55,180.0,top
J13,17.0,25.55,180.0,top
J14,0.0,-13.35,0.0,top
J15,0.0,-19.35,0.0,top
J16,0.0,-7.35,0.0,top
J17,18.95,11.65,90.0,top
J18,0.065,-24.0,270.0,bottom
J19,0.065,-27.0,270.0,bottom
J2,15.596015,-17.681802,45.0,top
J3,-21.681802,-11.596015,315.0,top
J4,28.376957,-2.365381,125.0,top
J5,-27.436208,-2.451115,55.0,top
J6,-15.843503,-17.929289,135.0,top
J7,21.929289,-11.843502,225.0,top
J8,23.749419,4.635673,305.0,top
R1,14.35,20.6,180.0,top
R2,-18.5,20.4,0.0,top
R3,14.375,16.2,0.0,top
R4,14.35,18.8,0.0,top
R5,-14.923,20.4,180.0,top
