"run","result","traction","max_accel","max_ang","seg","dur","slip","lim","vmax","s_acc","acc_ms","gap","gap_fr","cross","over","h_over","end_d","end_h","st","batt"
"1","最後まで","2.8","5","38","1","1.214","58.3","7.8","2.695","3.47","836","143","22","14","14","1.6","14","-0.1","1","25"
"1","最後まで","2.8","5","38","2","1.245","79.1","1.2","2.816","4.98","815","155","26.4","13","3","2.2","5","-1.4","1","25"
"1","最後まで","2.8","5","38","3","1.556","61","34.6","3.445","3.14","1013","159","19.7","11","0","4.9","9","-0.6","1","25"
"1","最後まで","2.8","5","38","4","2.222","64.4","29","2.98","3.01","1507","129","22.1","49","0","5.3","11","0.6","1","24"
"1","最後まで","2.8","5","38","5","1.535","48.3","32.9","2.336","3.19","1055","187","22.1","41","0","6.4","4","-0.5","1","25"
"1","最後まで","2.8","5","38","6","1.259","51.1","61.8","2.274","2.48","900","108","14.9","67","19","3.3","22","0","1","24"
"1","最後まで","2.8","5","38","7","1.67","40.7","32.9","2.339","1.91","1135","108","13.2","106","0","5.6","14","1","1","25"
"1","最後まで","2.8","5","38","8","1.317","54.6","53.8","2.286","2.61","918","157","23","60","20","4.5","21","-0.5","1","25"
"1","最後まで","2.8","5","38","9","1.827","34.6","29.8","2.256","1.71","1123","51","1.6","112","0","7.5","16","-0.5","1","24"
"1","最後まで","2.8","5","38","10","1.174","0","0","0.13","0","0","0","0","0","0","0","7","2.1","1","25"
"1","最後まで","2.8","5","38","11","1.118","0","0","0.115","0.1","17","0","0","0","0","0","1","-2.5","1","25"
"1","最後まで","2.8","5","38","12","1.652","74.9","35.2","2.076","3.14","580","117","11.1","298","0","7.3","10","-0.6","1","25"
"1","最後まで","2.8","5","38","13","1.788","71.7","27.7","1.968","4.29","547","150","19.9","369","0","2.1","20","-0.2","1","25"
"2","最後まで","2.8","5","38","1","1.197","68.2","26.5","2.493","2.73","652","195","31.2","43","13","5.4","13","0.2","1","25"
"2","最後まで","2.8","5","38","2","1.281","61","6.5","2.721","2.9","835","128","21.4","14","5","2.2","5","-0.7","1","24"
"2","最後まで","2.8","5","38","3","1.443","68.9","15.6","2.691","3.05","1029","162","24","20","0","4","6","0.7","1","24"
"2","最後まで","2.8","5","38","4","1.899","70.1","25.2","2.866","3.51","1172","122","17.5","41","12","2.8","12","-1","1","24"
"2","最後まで","2.8","5","38","5","1.378","50.1","25.4","2.728","2.95","892","156","22.5","17","11","2.6","11","-0.1","1","25"
"2","最後まで","2.8","5","38","6","1.586","45.2","45.2","2.204","1.96","913","123","16.3","11","39","3.8","21","-1.3","1","25"
"2","最後まで","2.8","5","38","7","1.438","59.8","40.2","2.255","2.06","1040","91","13.5","74","0","3.6","18","-0.5","1","25"
"2","最後まで","2.8","5","38","8","1.367","46.5","44.2","2.09","1.89","963","46","2.6","48","2","2.3","8","-0.1","1","24"
"2","最後まで","2.8","5","38","9","1.317","47.6","47.1","2.269","1.78","779","80","3.3","76","3","6","9","-0.3","1","25"
"2","最後まで","2.8","5","38","10","1.171","0","0","0.089","0","0","0","0","0","0","0","4","1.9","1","25"
"2","最後まで","2.8","5","38","11","1.073","0","0","0.106","0","0","0","0","0","0","0","2","-2.3","1","24"
"2","最後まで","2.8","5","38","12","1.751","59.5","17.8","1.788","1.93","753","110","5.2","328","0","4.2","15","-0.5","1","24"
"2","最後まで","2.8","5","38","13","1.781","71.6","18","1.74","2","676","72","4","370","0","1.9","13","0.1","1","24"
"3","最後まで","2.8","5","38","1","1.17","63","12.5","2.705","4.26","940","176","26.9","12","20","1.7","21","-0.3","1","25"
"3","最後まで","2.8","5","38","2","1.287","60.3","6.4","2.597","2.98","906","150","24.9","18","0","2.6","1","-0.5","1","25"
"3","最後まで","2.8","5","38","3","1.432","52","38","2.56","2.56","982","152","22","26","2","3.7","4","-0.2","1","24"
"3","最後まで","2.8","5","38","4","2.203","61.6","31.1","2.725","2.29","1367","113","15.1","46","0","3.4","7","0.1","1","25"
"3","最後まで","2.8","5","38","5","1.62","52","34.2","2.523","2.21","1136","136","20","20","0","4.4","9","-0.7","1","25"
"3","最後まで","2.8","5","38","6","1.295","57.2","58.8","2.217","2.01","1033","110","14.6","70","11","3.2","15","0.2","1","24"
"3","最後まで","2.8","5","38","7","1.609","33.5","40.5","2.314","2.25","1058","92","9.9","100","0","5.2","16","0.5","1","24"
"3","最後まで","2.8","5","38","8","1.348","34.4","50.7","2.125","2.07","1057","57","2.8","29","9","2.8","13","1","1","24"
"3","最後まで","2.8","5","38","9","1.717","35.6","35.8","2.188","1.63","1080","74","5","122","0","8","16","-1","1","25"
"3","最後まで","2.8","5","38","10","1.241","0","0","0.154","2.89","6","0","0","0","0","0","8","2.4","1","25"
"3","最後まで","2.8","5","38","11","1.143","0","0","0.104","0.2","3","0","0","0","0","0","0","-2.3","1","25"
"3","最後まで","2.8","5","38","12","1.723","65.9","32.1","1.926","2.22","577","147","16.6","294","0","6.6","18","0","1","25"
"3","最後まで","2.8","5","38","13","1.771","70.2","28.7","1.9","3.59","565","92","7.9","352","0","2","22","-1","1","25"
"4","最後まで","2.8","5","38","1","1.174","60.3","11.9","2.636","3.04","902","181","28.8","24","19","2.6","19","-0.3","1","24"
"4","最後まで","2.8","5","38","2","1.248","57.3","9.1","2.61","3.34","828","130","18.9","30","3","1.4","8","-0.1","1","24"
"4","最後まで","2.8","5","38","3","1.374","47.5","17","2.451","2.17","1033","144","20.7","14","8","2.4","8","0.2","1","24"
"4","最後まで","2.8","5","38","4","1.974","67.7","27.7","2.904","3.35","1137","153","26.8","40","10","2","10","-1.1","1","24"
"4","最後まで","2.8","5","38","5","1.448","66.3","23.8","2.516","2.63","963","158","24.9","15","0","3.2","3","0.5","1","25"
"4","最後まで","2.8","5","38","6","1.332","52.8","46.1","2.22","2.12","1022","94","7.9","28","5","4.2","9","0.2","1","25"
"4","最後まで","2.8","5","38","7","1.336","32","47.2","3.953","2.89","970","53","2.5","73","15","4.4","17","-0.5","1","25"
"4","最後まで","2.8","5","38","8","1.291","47.6","55.1","2.435","2.44","996","87","10","26","22","3","22","-0.1","1","25"
"4","最後まで","2.8","5","38","9","1.46","48.8","41.2","2.446","3.01","1093","32","1.6","94","0","6","18","-0.1","1","25"
"4","最後まで","2.8","5","38","10","1.153","0","0","0.126","0.83","4","0","0","0","0","0","1","2.2","1","25"
"4","最後まで","2.8","5","38","11","1.213","0","0","0.119","0","0","0","0","0","0","0","3","-2.1","1","24"
"4","最後まで","2.8","5","38","12","1.703","70.9","21.2","1.745","2.31","604","75","8.8","339","0","4.4","9","-0.4","1","25"
"4","最後まで","2.8","5","38","13","1.878","67.5","17.5","1.861","2.2","726","107","9.4","377","0","1.7","18","0.2","1","24"
