# motion pattern log x1.5 2.8V heading-PD (read from RAM via SWD) n=639
t_ms,seg,slip,cmd_vx_body,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
29,1,132,3500,109,102,-4,33,-2,586,92,493,-33,-75,1000,-377,-166,150,323,-6,0,1,-310,-242,272,285,0,0,-264,-239,220,267
59,1,133,3499,259,497,-335,152,37,1375,397,977,-348,-3239,1000,-3468,-244,378,733,-6,-120,340,-750,-626,595,665,0,0,-235,-296,135,263
89,1,129,3499,409,570,-331,238,88,144,287,-144,-299,-4113,1000,-3698,-689,519,697,-7,-512,644,-1259,-1075,853,975,0,0,-277,-325,146,267
119,1,128,3499,559,519,4,328,110,-210,303,-529,-116,-1095,1000,-1986,-1273,598,1350,-9,-531,-212,-1679,-1427,1208,1375,0,0,-312,-270,268,310
149,1,128,3499,709,618,92,429,97,-273,357,-633,-96,154,1000,-1761,-1483,955,2025,-11,-102,-336,-1984,-1670,1673,1889,0,0,-318,-258,315,342
180,1,129,3499,859,802,92,517,96,426,278,147,-216,316,1000,-2380,-1478,1235,2928,-11,-16,70,-2373,-2002,2049,2319,0,0,-368,-301,289,310
210,1,133,3499,1009,1260,327,602,33,1507,262,1241,-467,3036,1000,-3141,-1911,1714,5739,-12,-162,-344,-2820,-2390,2368,2691,0,0,-357,-231,318,273
240,1,129,3486,1159,1143,21,680,20,129,221,-96,-194,1030,1000,-3278,-2044,2384,3796,-12,129,-154,-3157,-2670,2795,3174,0,0,-343,-302,327,379
270,1,133,3433,1309,1627,301,806,-19,1449,405,1047,-594,3738,1000,-4287,-2225,2506,7137,-11,192,-338,-3550,-3010,3162,3601,0,0,-357,-244,338,309
300,1,129,3372,1459,1506,179,836,-69,171,269,-110,-427,2406,1000,-4171,-2403,2584,5881,-10,422,-355,-3899,-3311,3570,4072,0,0,-372,-295,368,388
330,1,131,3301,1609,1755,373,971,-120,-175,204,-358,-493,4928,1000,-4016,-2680,3154,7681,-6,419,-458,-4302,-3674,3913,4487,0,0,-407,-281,384,355
360,1,133,3232,1759,1879,265,1463,53,1503,333,1191,-422,4415,1000,-4487,-2973,3796,7581,-1,514,-260,-4678,-4015,4278,4930,0,0,-405,-312,381,390
390,1,129,3152,1909,1748,136,1752,108,-618,291,-904,-313,1306,1000,-4808,-3293,3396,6078,4,524,189,-5074,-4380,4621,5353,0,0,-466,-396,380,426
420,1,129,3061,2059,2269,294,2055,187,749,367,390,-734,4145,1000,-6253,-3280,3786,9275,8,319,-355,-5528,-4793,4915,5719,0,0,-437,-330,391,391
450,1,195,2962,2209,2260,466,2169,315,520,266,291,-580,6681,1000,-5078,-3548,4233,9746,14,617,-914,-5851,-5086,5328,6214,0,0,-406,-274,449,448
480,1,199,2849,2358,2657,655,2349,471,1684,118,1641,-755,9836,1000,-5412,-3737,5057,12325,29,1213,-1019,-6081,-5324,5794,6799,0,0,-399,-303,455,475
511,1,195,2719,2506,2738,554,2570,583,582,146,278,-605,9220,1000,-5623,-4177,5737,11914,55,1550,-874,-6349,-5651,6163,7338,0,0,-363,-290,425,490
541,1,129,2592,2627,2289,228,2554,412,-977,277,-1161,-525,3560,1000,-5989,-3686,4508,8761,109,1639,236,-6556,-6043,6345,7795,0,0,-314,-410,285,486
571,1,132,2478,2581,1962,-68,2342,243,-1109,270,1919,-75,53,1000,-5393,-4021,4857,5644,99,1192,973,-6561,-6020,6149,7536,0,0,-309,-123,194,53
601,1,132,2381,2448,1632,-301,1951,-74,-629,-84,730,-38,-143,1000,-5048,-2976,4528,4027,31,585,406,-6478,-5697,5843,6890,0,0,-232,-162,148,124
631,1,128,2287,2312,1601,-180,1749,-213,-187,-72,211,-54,-75,1000,-4853,-3236,4046,4126,20,494,-1,-6150,-5375,5524,6477,0,0,-119,-224,110,264
661,1,0,2186,2206,1674,-75,1707,-97,-26,66,89,-81,519,1000,-4693,-3371,4121,4801,33,753,271,-5773,-5091,5311,6277,0,0,-138,-177,132,215
691,1,0,2086,2105,1594,-104,1693,-104,61,-16,-5,-44,52,1000,-4519,-3270,4025,4381,21,563,471,-5566,-4872,5052,5930,0,0,-207,-178,126,138
721,1,0,1982,2002,1570,-95,1594,-124,76,-135,-208,13,28,1000,-4379,-3446,4023,4142,17,358,225,-5344,-4671,4768,5590,0,0,-126,-169,104,183
751,1,0,1872,1895,1561,-56,1558,-96,27,-163,-170,-23,-104,1000,-4412,-3479,3762,4216,24,412,141,-5025,-4422,4512,5325,0,0,-97,-152,77,161
781,1,0,1758,1783,1471,-123,1534,-52,-396,-16,354,-76,518,1000,-4249,-2818,3739,4112,26,334,154,-4735,-4181,4224,5002,0,0,-63,-147,57,165
811,1,0,1642,1668,1428,-43,1476,-72,-285,51,336,-47,466,1000,-3907,-2971,3529,4096,31,237,241,-4436,-3946,3918,4674,0,0,-76,-119,52,113
842,1,0,1526,1552,1336,-44,1412,-42,-175,-289,-105,-39,-15,1000,-3764,-2893,3214,3705,28,176,238,-4139,-3682,3634,4338,0,0,-73,-105,43,90
872,1,0,1408,1435,1270,-53,1365,-55,6,-49,-56,-7,-169,1000,-3609,-2876,3076,3355,33,169,68,-3812,-3418,3346,4024,0,0,-21,-99,20,107
902,1,0,1280,1312,1225,-52,1253,-43,-369,-215,158,-65,-147,1000,-3614,-2631,2824,3359,45,213,37,-3442,-3145,3039,3722,0,0,27,-84,-20,91
932,1,0,1149,1183,1152,-70,1161,-34,-240,-297,-85,-31,-187,1000,-3364,-2488,2787,3062,56,163,120,-3080,-2881,2695,3380,0,0,48,-79,-55,67
962,1,0,920,1037,1008,-5,1030,-20,-412,-491,-78,-146,-413,1000,-3130,-2055,1977,3001,61,139,201,-2680,-2553,2335,2983,0,0,52,-16,-59,-5
992,1,132,688,886,871,6,952,-31,-697,-222,476,-140,-411,1000,-2741,-1793,1620,2621,59,66,124,-2291,-2213,1967,2551,0,0,73,2,-68,-14
1022,1,0,501,736,761,-75,787,-28,-122,-434,-313,-104,295,1000,-2355,-1264,1809,2251,58,61,79,-1884,-1858,1614,2138,0,0,107,5,-97,-17
1052,1,0,327,587,641,-101,676,-43,-588,-473,96,-71,558,1000,-1954,-954,1719,1856,63,74,16,-1463,-1514,1253,1742,0,0,149,11,-123,-9
1082,1,193,193,437,508,-174,524,-22,-300,-418,-204,-172,1050,1000,-1849,-120,1425,1664,76,129,-85,-1015,-1180,882,1374,0,0,169,-10,-133,34
1112,1,64,81,289,453,-84,426,-63,-15,-263,-186,-44,361,1000,-1389,-651,1267,1279,102,86,69,-573,-904,462,1010,0,0,185,-19,-182,-4
1142,1,64,-18,142,338,-2,326,-4,-490,-430,35,-66,202,1000,-963,-518,747,1167,128,-65,228,-159,-654,15,617,0,0,197,19,-220,-56
1173,1,64,-88,-6,243,10,232,-4,-381,-349,42,-28,206,1000,-626,-446,562,826,145,-66,118,280,-344,-376,243,0,0,210,9,-189,-28
1203,1,0,-132,-125,148,4,103,21,-235,-454,-216,-22,-50,1000,-400,-259,329,508,152,-163,231,593,-102,-695,-93,0,0,178,0,-182,-94
1233,2,0,-3499,-165,44,20,29,23,-436,-384,54,-3,147,1000,-62,-116,76,199,149,-91,-33,713,15,-764,-189,0,0,206,67,-161,-108
1263,2,132,-3499,-301,-194,-57,-71,9,-1153,-354,810,-95,693,1000,380,992,-395,-273,145,-79,-41,1081,348,-1073,-566,0,0,326,195,-277,-217
1293,2,197,-3499,-451,-583,-382,-218,49,-1031,-447,612,-449,3755,1000,741,4230,-744,-522,141,99,-391,1529,755,-1373,-937,0,0,352,150,-263,-105
1323,2,129,-3499,-601,-554,-182,-320,111,137,-379,-534,-263,2178,1000,1196,2982,-938,-708,137,169,190,1948,1136,-1700,-1337,0,0,346,185,-322,-235
1353,2,129,-3498,-752,-711,-139,-410,150,-456,-345,110,-265,1789,1000,1595,3151,-1520,-1158,135,-127,153,2280,1422,-2123,-1827,0,0,348,194,-336,-257
1383,2,129,-3497,-901,-664,133,-517,159,444,-225,-674,-181,1054,1000,1987,2007,-2026,-867,133,-86,164,2697,1788,-2463,-2228,0,0,358,271,-325,-320
1413,2,129,-3497,-1051,-941,10,-622,183,-517,-326,191,-217,1621,1000,2576,3184,-2326,-1633,133,-229,189,3070,2106,-2852,-2674,0,0,367,244,-350,-306
1443,2,133,-3496,-1201,-1199,-67,-737,189,-1097,-417,679,-381,2062,1000,2850,4452,-3092,-2070,134,-173,16,3496,2471,-3194,-3067,0,0,394,244,-351,-277
1473,2,129,-3489,-1351,-1163,143,-825,239,400,-272,-664,-173,1507,1000,3457,3211,-3135,-2156,136,-34,-2,3943,2856,-3516,-3439,0,0,400,305,-354,-342
1504,2,133,-3436,-1502,-1521,267,-957,244,-1157,-409,753,-421,286,1000,3912,4146,-5112,-2595,137,-263,304,4299,3149,-3931,-3903,0,0,334,278,-362,-383
1534,2,129,-3375,-1652,-1492,341,-1014,214,-219,-206,9,-180,-1016,1000,4201,3015,-4914,-3181,141,-572,442,4637,3417,-4369,-4384,0,0,371,321,-381,-415
1564,2,133,-3309,-1802,-1781,150,-1220,177,-1117,-325,752,-256,-348,1000,4594,4465,-5198,-4039,146,-686,304,5028,3730,-4764,-4812,0,0,394,284,-413,-383
1594,2,128,-3236,-1951,-1800,23,-1592,135,-589,-267,294,-148,486,1000,4748,4661,-4562,-4450,153,-517,-68,5494,4109,-5092,-5165,0,0,473,313,-435,-360
