# motion pattern log x1.5 3.2V max-perf (read from RAM via SWD) n=612
t_ms,seg,slip,cmd_vx_body,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
29,1,0,3500,104,75,10,23,2,359,67,292,-6,116,1000,-175,-158,162,265,5,1,-13,-273,-259,232,296,0,0,-307,-276,258,310
59,1,133,3499,284,665,-4,166,11,2400,478,1922,-524,-316,1000,-3025,-341,200,2846,5,9,-8,-763,-681,659,789,0,0,-271,-249,227,279
89,1,133,3499,464,681,102,238,10,1590,401,1189,-396,843,1000,-2337,-695,558,3078,5,46,-146,-1245,-1097,1092,1291,0,0,-314,-261,278,308
120,1,129,3499,644,628,120,340,0,-253,338,-591,-206,1051,1000,-1704,-1032,910,2609,6,115,-161,-1718,-1506,1532,1801,0,0,-358,-298,320,354
150,1,133,3499,824,1084,210,456,-20,867,343,512,-491,2604,1000,-3067,-1298,1385,4952,8,207,-444,-2183,-1911,1975,2319,0,0,-337,-261,327,339
180,1,129,3499,1004,1202,199,552,-79,422,256,166,-447,2852,1000,-3207,-1545,1910,5273,11,283,-245,-2650,-2324,2411,2835,0,0,-364,-291,339,359
210,1,129,3499,1184,1284,29,666,-96,677,402,277,-439,1268,1000,-4041,-1666,2215,4846,14,245,112,-3146,-2764,2820,3323,0,0,-388,-352,327,391
240,1,129,3499,1364,1331,130,752,-79,-373,303,-676,-309,1544,1000,-3621,-2257,2487,4969,15,195,148,-3647,-3204,3229,3805,0,0,-440,-368,368,404
270,1,133,3499,1544,1825,369,868,-116,1063,360,701,-657,4333,1000,-4641,-2507,2845,8133,15,234,-174,-4130,-3619,3663,4306,0,0,-437,-303,394,363
300,1,135,3479,1724,1943,297,962,-176,1232,368,864,-601,4700,1000,-4940,-2710,3471,8241,14,307,-374,-4604,-4023,4107,4815,0,0,-443,-327,411,404
330,1,131,3392,1905,2013,250,1051,-147,335,346,-14,-536,4677,1000,-5153,-3000,3841,8133,16,448,-634,-5060,-4416,4565,5345,0,0,-450,-354,435,456
