# motion pattern log x1.5 snappy (read from RAM via SWD) n=833
t_ms,seg,slip,cmd_vx_body,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
29,1,0,2500,82,59,3,23,4,297,93,203,-13,52,1000,-158,-91,125,225,2,-1,52,-221,-200,189,229,0,0,-223,-204,181,225
60,1,0,2499,202,206,40,168,3,537,381,155,-72,363,1000,-570,-330,287,870,2,-17,-71,-554,-487,469,553,0,0,-233,-205,196,231
90,1,0,2499,322,313,-57,266,0,631,295,336,-73,-334,1000,-1205,-504,608,820,1,-2,3,-878,-765,756,884,0,0,-238,-228,196,251
120,1,128,2499,442,474,29,363,10,399,275,123,-119,152,1000,-1454,-855,791,1644,1,-25,2,-1212,-1053,1033,1205,0,0,-253,-224,210,249
150,1,0,2499,562,507,5,491,18,195,284,-88,-32,78,1000,-1428,-1110,1123,1485,1,-15,-3,-1538,-1333,1320,1535,0,0,-272,-245,227,273
180,1,133,2499,682,793,46,617,18,1154,392,761,-196,571,1000,-2351,-1349,1421,2820,0,-30,12,-1870,-1618,1600,1858,0,0,-268,-234,223,258
210,1,128,2499,802,805,12,690,-13,117,192,-74,-121,115,1000,-2434,-1627,1570,2483,0,2,-112,-2191,-1892,1892,2193,0,0,-284,-254,245,289
240,1,128,2499,922,894,91,788,15,-124,354,-481,-140,798,1000,-2358,-1768,1752,3126,0,-19,37,-2525,-2180,2170,2515,0,0,-312,-265,260,290
270,1,128,2499,1043,1011,43,873,0,43,213,-166,-122,-11,1000,-2914,-2155,2006,3135,0,-22,123,-2855,-2461,2455,2840,0,0,-325,-284,261,299
300,1,128,2499,1163,1120,-119,936,14,536,227,327,-93,-1057,1000,-3650,-2292,2531,2868,-2,-89,407,-3203,-2757,2725,3147,0,0,-336,-321,245,312
330,1,128,2499,1283,1256,-54,1042,13,-16,259,-293,-142,-337,1000,-3854,-2497,2723,3616,-7,-230,278,-3574,-3065,2983,3432,0,0,-358,-321,261,308
360,1,133,2498,1402,1433,-43,1089,13,740,259,480,-206,-429,1000,-4537,-2867,2873,4171,-13,-296,30,-3930,-3348,3264,3730,0,0,-356,-311,277,317
391,1,129,2498,1523,1456,-119,1186,32,-349,196,-567,-267,-777,1000,-4978,-2691,2849,4118,-21,-339,-31,-4283,-3624,3554,4033,0,0,-374,-337,291,345
421,1,133,2498,1642,1694,-27,1285,29,903,434,414,-287,658,1000,-5078,-3001,3564,5403,-29,-369,205,-4633,-3895,3847,4336,0,0,-390,-331,289,322
451,1,192,2497,1762,1637,91,1333,24,-369,203,-664,-134,192,1000,-4441,-3602,3453,5075,-39,-442,373,-4997,-4171,4135,4625,0,0,-401,-314,288,299
481,1,133,2496,1881,1904,90,1527,8,1108,292,757,-308,1254,1000,-5383,-3632,3818,6337,-53,-469,-34,-5357,-4425,4443,4917,0,0,-431,-323,339,330
511,1,193,2449,2000,1930,88,1761,39,482,90,361,-234,1885,1000,-5225,-3804,4141,6319,-68,-381,-375,-5688,-4649,4781,5236,0,0,-429,-318,363,359
541,1,193,2369,2120,2230,374,2103,145,32,297,-359,-440,4173,1000,-5443,-4179,4156,8620,-80,-232,-685,-6000,-4866,5127,5577,0,0,-401,-247,367,333
571,1,193,2291,2239,2074,77,2107,164,322,348,-45,-333,1920,1000,-5818,-3834,4296,6937,-81,-47,-270,-6283,-5099,5459,5948,0,0,-438,-367,371,421
601,1,133,2206,2265,2025,-16,2150,126,-751,183,922,-162,711,1000,-5723,-4149,4596,6028,-69,28,27,-6311,-5169,5509,6060,0,0,-195,-160,142,154
631,1,132,2130,2150,1589,12,1911,19,-1308,-134,1167,-59,70,1000,-4441,-3627,3575,4493,-75,12,-60,-6012,-4887,5249,5729,0,0,-196,-151,150,150
661,1,128,2063,2071,1598,-27,1735,-36,116,183,118,-9,-206,1000,-4518,-3762,3728,4251,-70,35,-119,-5781,-4708,5056,5530,0,0,-205,-190,161,199
691,1,0,1989,1999,1656,-31,1680,-16,-74,66,139,-54,282,1000,-4658,-3655,3884,4621,-64,61,-118,-5566,-4544,4879,5350,0,0,-181,-161,147,171
722,1,0,1914,1924,1578,34,1617,9,-328,-301,39,-127,74,1000,-4527,-3498,3309,4636,-57,109,-123,-5336,-4371,4698,5170,0,0,-176,-149,150,165
752,1,0,1838,1848,1640,-55,1625,-12,320,-17,-342,-41,52,1000,-4666,-3625,3898,4468,-53,137,-27,-5115,-4197,4517,4980,0,0,-149,-137,123,146
782,1,0,1759,1769,1539,-19,1587,-41,-163,-157,-1,-6,320,1000,-4165,-3475,3748,4268,-51,135,37,-4896,-4016,4326,4767,0,0,-159,-126,130,132
812,1,0,1680,1691,1493,-56,1552,-46,-42,191,235,-21,-205,1000,-4264,-3366,3566,3984,-52,117,75,-4689,-3832,4140,4546,0,0,-143,-126,112,126
842,1,0,1598,1610,1497,-48,1468,-14,0,-165,-161,-21,-140,1000,-4243,-3380,3577,4027,-53,102,78,-4474,-3642,3947,4319,0,0,-124,-107,96,106
872,1,0,1513,1526,1426,-35,1444,6,-153,-146,6,-49,37,1000,-4070,-3154,3323,3932,-53,98,-36,-4246,-3446,3749,4089,0,0,-100,-96,87,104
902,1,0,1428,1441,1359,-10,1406,9,-184,87,270,-76,-318,1000,-3998,-3092,2934,3750,-52,112,-97,-4007,-3246,3548,3864,0,0,-94,-76,91,92
932,1,0,1343,1356,1279,-16,1330,-26,-233,-38,193,-9,600,1000,-3398,-2808,3176,3630,-45,130,-13,-3758,-3056,3337,3648,0,0,-87,-70,84,84
962,1,0,1255,1269,1218,-79,1243,-32,-262,-275,-38,-9,-275,1000,-3564,-2723,2975,3133,-43,128,25,-3516,-2858,3125,3415,0,0,-62,-75,55,82
992,1,0,1165,1180,1215,-56,1194,-61,35,-166,-202,-61,-206,1000,-3578,-2598,2826,3321,-41,101,128,-3276,-2660,2904,3170,0,0,-51,-51,39,46
1022,1,0,1071,1087,1177,-82,1131,-66,47,-231,-287,-46,210,1000,-3398,-2393,2929,3232,-38,72,86,-3025,-2455,2672,2915,0,0,-19,-44,12,39
1053,1,0,946,985,1065,-33,1074,-39,-327,-246,78,-37,295,1000,-2970,-2254,2584,3012,-34,51,46,-2743,-2227,2416,2637,0,0,15,5,-13,-12
