"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","0.002","0","2","4.3","1.9","滑り始め","0.37","0.016","0","1.48","4.22","0","滑らず停止","0.37","0.025",,"1","24"
"2","1","後(-x)","1","0.539","0","2.31","4.61","2.12","滑り始め","0.867","0.055","0","1.72","3.76","1.58","滑り始め","0.867","0.084","4.47","1","24"
"3","2","左(+y)","1","1.733","0","2.36","3.46","2.22","滑り始め","0.866","0.069","0","1.79","4.37","1.66","滑り始め","0.866","0.054","6.94","1","24"
"4","3","右(-y)","1","2.437","0","2.46","2.75","2.61","滑り始め","0.87","0.072","0","2.06","5.43","1.92","滑り始め","0.87","0.045",,"1","24"
"5","4","左前","1","3.282","0","2.84","4.21","2.61","電圧の余裕なし","1.027","0.101","0","2.05","3.82","1.92","滑り始め","1.027","0.151","3.49","1","24"
"6","5","右後","1","4.25","0","2.91","5.82","2.79","電圧の余裕なし","1.094","0.085","0","2.12","3.37","2.05","滑り始め","1.094","0.127","4.71","1","24"
"7","6","右前","1","5.494","0","2.3","3.96","2.74","滑り始め","0.686","0.076","0","2.11","4.45","0","滑らず停止","0.686","0.082","2.87","1","24"
"8","7","左後","1","6.305","0","2.96","5.2","2.77","電圧の余裕なし","1.074","0.095","0","2.16","4.3","2.03","滑り始め","1.074","0.132","4.37","1","24"
"9","8","左回り","1","7.643","0","2.19","149.5","0","速度の上限","12.55","0","0","2.36","130.3","0","滑らず停止","12.55","0",,"1","24"
"10","9","右回り","1","8.318","0","2.12","145.4","0","速度の上限","12.563","0","0","2.37","142.4","0","滑らず停止","12.563","0",,"1","24"
"11","0","前(+x)","2","9.149","0","2.26","3.94","1.9","滑り始め","0.555","0.035","0","1.49","4.02","0","滑らず停止","0.555","0.041",,"1","23"
"12","1","後(-x)","2","9.753","0","2.71","5.01","2.31","滑り始め","1.18","0.088","0","1.81","4.76","1.71","滑り始め","1.18","0.12","5.8","1","24"
"13","2","左(+y)","2","11.123","0","1.98","3.05","2.34","滑り始め","0.712","0.047","0","1.87","4.32","1.74","滑り始め","0.712","0.035",,"1","24"
"14","3","右(-y)","2","11.738","0","2.67","3.77","2.29","滑り始め","0.572","0.051","0","1.84","4.48","1.7","滑り始め","0.572","0.034",,"1","24"
"15","4","左前","2","12.539","0","2.54","3.87","2.24","滑り始め","0.605","0.043","0","1.83","3.5","0","滑らず停止","0.605","0.064","2.86","1","24"
"16","5","右後","2","13.279","0","2.51","4.37","2.26","滑り始め","0.702","0.049","0","1.91","4.48","0","滑らず停止","0.702","0.073","3.38","1","24"
"17","6","右前","2","14.182","0","1.98","3.27","2.05","滑り始め","0.4","0.028","0","1.59","3.05","0","滑らず停止","0.4","0.045",,"1","24"
"18","7","左後","2","14.82","0","2.77","4.03","2.56","滑り始め","0.824","0.081","0","1.94","3.99","0","滑らず停止","0.824","0.104","3.26","1","24"
"19","8","左回り","2","16.216","0","2.08","147.7","0","速度の上限","12.287","0","0","1.7","81","1.56","滑り始め","12.287","0",,"1","24"
"20","9","右回り","2","17.078","0","2.12","160.8","0","速度の上限","12.271","0","0","2.32","121.9","0","滑らず停止","12.271","0",,"1","24"
"21","2","左(+y)","3","18.674","0","2.52","2.6","2.12","滑り始め","0.594","0.036","0","1.64","3.88","1.59","滑り始め","0.594","0.031",,"1","24"
"22","3","右(-y)","3","19.275","0","1.98","2.92","2.14","滑り始め","0.355","0.021","0","1.65","3.17","0","滑らず停止","0.355","0.02",,"1","24"
"23","4","左前","3","19.981","0","2.8","4.22","2.81","電圧の余裕なし","1.152","0.086","0","2.06","4.61","2.06","滑り始め","1.152","0.122","5.44","1","24"
"24","5","右後","3","20.871","0","3","5.94","2.88","電圧の余裕なし","1.101","0.104","0","2.25","4.78","2.11","滑り始め","1.101","0.131","4.63","1","23"
"25","6","右前","3","21.921","0","2.95","5.53","2.81","電圧の余裕なし","1.035","0.107","0","2.18","6.2","2.06","滑り始め","1.035","0.129","4.15","1","24"
"26","7","左後","3","22.82","0","2.9","6.47","2.77","滑り始め","1.07","0.116","0","2.11","6.99","2.03","滑り始め","1.07","0.164","3.49","1","24"
"27","0","前(+x)","1","25.429","1","2.01","3.25","1.9","速度の上限","1.529","0.08","0.878","1.57","4.07","1.43","滑り始め","1.529","0.106","11.03","1","24"
"28","1","後(-x)","1","27.562","1","0","0","0","-","0","0","0","0","0","0","-","0","0",,"1","24"
