"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","0.003","0","2.37","4.47","2","滑り始め","0.402","0.021","0","2.15","3.74","0","滑らず停止","0.402","0.063","1.28","1","23"
"2","1","後(-x)","1","0.645","0","2.23","4.27","2.08","滑り始め","0.421","0.025","0","2.05","5.34","0","滑らず停止","0.421","0.069","1.28","1","23"
"3","2","左(+y)","1","1.476","0","2","2.77","2.12","滑り始め","0.184","0.009","0","0","0","0","滑らず停止","0.184","0.016",,"1","23"
"4","3","右(-y)","1","1.997","0","2.49","3.26","2.21","滑り始め","0.37","0.028","0","0","0","0","滑らず停止","0.37","0.053","1.29","1","23"
"5","4","左前","1","3.146","0","2.16","3.5","2.26","滑り始め","0.243","0.011","0","0","0","0","滑らず停止","0.243","0.036",,"1","23"
"6","5","右後","1","3.782","0","2.69","4.1","2.48","滑り始め","0.379","0.022","0","0","0","0","滑らず停止","0.379","0.077","0.93","1","23"
"7","6","右前","1","4.827","0","2.62","4.34","2.24","滑り始め","0.303","0.014","0","0","0","0","滑らず停止","0.303","0.041",,"1","23"
"8","7","左後","1","5.368","0","2.49","3.31","2.51","滑り始め","0.326","0.02","0","0","0","0","滑らず停止","0.326","0.058","0.92","1","23"
"9","8","左回り","1","6.211","0","2.15","145.9","0","速度の上限","12.349","0","0","2.37","129.5","0","滑らず停止","12.349","0",,"1","23"
"10","9","右回り","1","6.889","0","2.17","147.4","0","速度の上限","12.397","0","0","2.5","140.1","0","滑らず停止","12.397","0",,"1","24"
"11","0","前(+x)","2","7.715","0","2.12","4.38","1.9","滑り始め","0.304","0.012","0","2.03","3.08","0","滑らず停止","0.304","0.049",,"1","23"
"12","1","後(-x)","2","8.347","0","2.42","5.44","2.22","滑り始め","0.513","0.035","0","2.03","3.88","0","滑らず停止","0.513","0.088","1.5","1","23"
"13","2","左(+y)","2","9.354","0","1.94","2.97","2.18","滑り始め","0.282","0.02","0","0","0","0","滑らず停止","0.282","0.036",,"1","23"
"14","3","右(-y)","2","9.988","0","1.99","3.01","2.14","滑り始め","0.207","0.011","0","0","0","0","滑らず停止","0.207","0.024",,"1","23"
"15","4","左前","2","10.863","0","3.32","4.82","3.09","電圧の余裕なし","0.567","0.05","0","0","0","0","滑らず停止","0.567","0.109","1.47","1","23"
"16","5","右後","2","11.655","0","2.76","3.67","2.39","滑り始め","0.287","0.015","0","0","0","0","滑らず停止","0.287","0.048",,"1","23"
"17","6","右前","2","12.969","0","2.63","4.82","0","電圧の余裕なし","0.578","0.051","0","2.08","3.1","0","滑らず停止","0.578","0.122","1.37","1","23"
"18","7","左後","2","13.818","0","2.88","5.37","0","電圧の余裕なし","0.547","0.044","0","2.03","4","0","滑らず停止","0.547","0.112","1.34","1","23"
"19","8","左回り","2","14.791","0","2.11","148.4","0","速度の上限","12.595","0","0","2.56","146.1","0","滑らず停止","12.595","0",,"1","23"
"20","9","右回り","2","15.471","0","2.12","148.4","2.4","速度の上限","12.09","0","0","2.5","138.5","0","滑らず停止","12.09","0",,"1","24"
"21","4","左前","3","17.053","0","2.72","4.96","2.87","滑り始め","0.474","0.036","0","0","0","0","滑らず停止","0.474","0.092","1.22","1","23"
"22","5","右後","3","17.824","0","2.67","3.54","2.28","滑り始め","0.263","0.012","0","0","0","0","滑らず停止","0.263","0.044",,"1","23"
"23","0","前(+x)","1","20.047","1","2.16","4.68","1.9","滑り始め","1.277","0.194","0.194","2.26","6.22","2.09","滑り始め","1.277","0.338","2.41","1","23"
"24","1","後(-x)","1","22.481","1","1.91","5.72","2.01","滑り始め","1.339","0.19","0.153","2.33","7.17","2.18","滑り始め","1.339","0.333","2.69","1","23"
"25","2","左(+y)","1","25.268","1","0","0","0","時間切れ","0","0","0.647","0","0","0","-","0","0",,"1","23"
"26","3","右(-y)","1","27.493","1","2.25","2.86","2.06","滑り始め","1.056","0.185","0.136","2.56","5.13","0","滑らず停止","1.056","0.225","2.48","1","23"
"27","4","左前","1","30.725","1.5","2.03","3.79","1.86","電圧の余裕なし","1.534","0.194","0.332","2.47","5.36","0","滑らず停止","1.534","0.483","2.44","1","23"
"28","5","右後","1","34.157","1.5","2.12","3.85","1.86","電圧の余裕なし","1.527","0.205","0.315","2.29","5.98","0","滑らず停止","1.527","0.467","2.5","1","23"
"29","6","右前","1","37.536","1.5","1.86","5.45","0","電圧の余裕なし","1.661","0.219","0.354","2.24","4.88","0","滑らず停止","1.661","0.531","2.6","1","23"
"30","7","左後","1","40.954","1.5","1.86","3.67","0","電圧の余裕なし","1.629","0.223","0.404","2.32","6.26","2.41","滑り始め","1.629","0.549","2.42","1","23"
"31","0","前(+x)","1","44.244","2","0","0","0","-","0","0","1.17","2.27","6.86","2.11","滑り始め","2.061","0.665","3.19","1","23"
"32","1","後(-x)","1","46.906","2","0","0","0","-","0","0","0.708","2.41","9.1","2.02","滑り始め","1.896","0.56","3.21","1","23"
"33","2","左(+y)","1","48.795","2","0","0","0","範囲不足(走らず)","0","0","2.15","0","0","0","-","0","0",,"0","255"
"34","3","右(-y)","1","48.795","2","0","0","0","範囲不足(走らず)","0","0","1.899","0","0","0","-","0","0",,"0","255"
"35","0","前(+x)","2","51.288","1","2.08","3.29","1.84","滑り始め","1.423","0.217","0.167","2.17","6.68","2.41","滑り始め","1.423","0.378","2.68","1","23"
"36","1","後(-x)","2","53.749","1","2.14","4.11","2.03","滑り始め","1.364","0.208","0.161","2.1","5.37","2.2","滑り始め","1.364","0.357","2.61","1","23"
"37","2","左(+y)","2","56.661","1","2.21","2.63","0","電圧の余裕なし","1.177","0.211","0.391","2.79","5.05","0","滑らず停止","1.177","0.289","2.4","1","23"
"38","3","右(-y)","2","59.247","1","2.49","2.79","2.27","電圧の余裕なし","1.257","0.257","0.387","2.39","6.01","2.48","滑り始め","1.257","0.28","2.82","1","23"
"39","4","左前","2","62.319","1.5","1.93","0.59","0","電圧の余裕なし","1.519","0.156","0.399","2.68","8.45","0","滑らず停止","1.519","0.465","2.48","1","23"
"40","5","右後","2","65.535","1.5","1.97","5.62","2.05","電圧の余裕なし","1.549","0.217","0.36","2.65","7.33","2.49","滑り始め","1.549","0.505","2.38","1","23"
"41","6","右前","2","65.535","1.5","2.3","3.21","0","電圧の余裕なし","1.492","0.215","0.396","2.59","5.67","0","滑らず停止","1.492","0.442","2.52","1","23"
"42","7","左後","2","65.535","1.5","2.04","3.45","0","電圧の余裕なし","1.517","0.196","0.408","2.26","5.72","2.32","滑り始め","1.517","0.5","2.3","1","23"
"43","0","前(+x)","2","65.535","2","0","0","0","範囲不足(走らず)","0","0","2.191","0","0","0","-","0","0",,"0","255"
"44","1","後(-x)","2","65.535","2","0","0","0","範囲不足(走らず)","0","0","1.903","0","0","0","-","0","0",,"0","255"
"45","2","左(+y)","2","65.535","2","0","0","0","範囲不足(走らず)","0","0","3.103","0","0","0","-","0","0",,"0","255"
"46","3","右(-y)","2","65.535","2","0","0","0","時間切れ","0","0","1.329","0","0","0","-","0","0",,"1","23"
