"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_平均加速度","減速_平均加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","0.004","0","2.02","3.88","1.61","0","1.9","滑り始め","0.183","0.006","0","0","0","0","滑らず停止","0.183","0.027",,"1","24"
"2","1","後(-x)","1","0.546","0","2.35","4.49","3.21","1.67","2.14","滑り始め","0.461","0.03","0","2.11","4.47","0","滑らず停止","0.461","0.075","1.42","1","23"
"3","2","左(+y)","1","1.624","0","1.94","3.28","0.77","0","2.08","滑り始め","0.205","0.009","0","0","0","0","滑らず停止","0.205","0.024",,"1","23"
"4","3","右(-y)","1","2.182","0","2.44","3.04","2.13","0","2.3","滑り始め","0.288","0.021","0","0","0","0","滑らず停止","0.288","0.039",,"1","23"
"5","4","左前","1","3.025","0","2.45","3.7","1.96","0","2.31","滑り始め","0.275","0.013","0","0","0","0","滑らず停止","0.275","0.043",,"1","23"
"6","5","右後","1","3.675","0","3.03","4.18","3.05","0.52","2.8","滑り始め","0.493","0.037","0","2.02","2.72","0","滑らず停止","0.493","0.096","1.27","1","23"
"7","6","右前","1","4.9","0","2.79","5.26","3.48","0","2.43","滑り始め","0.395","0.021","0","0","0","0","滑らず停止","0.395","0.075","1.04","1","23"
"8","7","左後","1","5.616","0","3.17","4.82","3.66","1.42","0","電圧の余裕なし","0.62","0.052","0","2.12","3.19","0","滑らず停止","0.62","0.133","1.45","1","23"
"9","8","左回り","1","6.891","0","2.2","152.3","49.7","73.7","0","速度の上限","12.523","0","0","2.44","146.7","0","滑らず停止","12.523","0",,"1","24"
"10","9","右回り","1","7.568","0","2.12","158.7","41.4","74.6","0","速度の上限","12.392","0","0","2.5","142.5","0","滑らず停止","12.392","0",,"1","23"
"11","0","前(+x)","2","8.388","0","2.1","4.27","2.1","0","1.9","滑り始め","0.287","0.012","0","0","0","0","滑らず停止","0.287","0.043",,"1","24"
"12","1","後(-x)","2","8.987","0","2.51","5.08","3.57","1.48","2.28","滑り始め","0.553","0.044","0","2.11","6.04","0","滑らず停止","0.553","0.1","1.53","1","23"
"13","2","左(+y)","2","10.187","0","2.74","3.78","2.21","1.71","2.67","滑り始め","0.486","0.05","0","2.09","4.49","0","滑らず停止","0.486","0.068","1.74","1","23"
"14","3","右(-y)","2","10.906","0","1.98","2.69","1.12","0","2.34","滑り始め","0.258","0.018","0","0","0","0","滑らず停止","0.258","0.034",,"1","23"
"15","4","左前","2","12.175","0","2.08","3.29","1.27","0","2.36","滑り始め","0.281","0.016","0","0","0","0","滑らず停止","0.281","0.05",,"1","23"
"16","5","右後","2","12.828","0","3.21","4.28","3.3","0.35","3.08","電圧の余裕なし","0.518","0.041","0","2.03","3.29","0","滑らず停止","0.518","0.106","1.27","1","24"
"17","6","右前","2","14.016","0","3.17","5.65","3.58","0.93","0","電圧の余裕なし","0.592","0.05","0","2.02","4.44","0","滑らず停止","0.592","0.11","1.59","1","24"
"18","7","左後","2","14.842","0","2.94","4.91","2.97","0","2.6","滑り始め","0.403","0.026","0","0","0","0","滑らず停止","0.403","0.079","1.03","1","23"
"19","8","左回り","2","16.072","0","2.07","148.9","30","74.9","0","速度の上限","12.599","0","0","2.5","134.4","0","滑らず停止","12.599","0",,"1","23"
"20","9","右回り","2","16.754","0","2.12","142.5","42.2","75.9","0","速度の上限","12.432","0","0","2.5","140.5","0","滑らず停止","12.432","0",,"1","23"
"21","2","左(+y)","3","17.678","0","2.26","2.59","1.44","0","2.12","滑り始め","0.202","0.011","0","0","0","0","滑らず停止","0.202","0.024",,"1","23"
"22","3","右(-y)","3","18.273","0","2.01","2.96","1.43","0","2.17","滑り始め","0.232","0.013","0","0","0","0","滑らず停止","0.232","0.031",,"1","23"
"23","0","前(+x)","1","20.145","1","1.98","4.27","2.15","3.04","1.83","滑り始め","1.22","0.16","0.185","2.2","6.62","2.02","滑り始め","1.22","0.32","2.33","1","23"
"24","1","後(-x)","1","22.612","1","1.83","5.41","1.73","3.96","2.01","滑り始め","1.357","0.196","0.182","2.41","6.19","2.24","滑り始め","1.357","0.359","2.56","1","23"
"25","2","左(+y)","1","25.645","1","2.31","3.03","1.41","3.32","2.07","電圧の余裕なし","1.194","0.206","0.475","2.31","6.53","2.16","滑り始め","1.194","0.28","2.55","1","23"
"26","3","右(-y)","1","28.519","1","2.1","3.62","1.19","1.94","2.01","滑り始め","0.942","0.145","0.166","2.09","6.4","0","滑らず停止","0.942","0.183","2.42","1","23"
