# rx_stall wheel=1 t=47849 SR=0x00D4 CR3=0x0041 NDTR=703 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=48283 SR=0x00D4 CR3=0x0041 NDTR=839 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=50953 SR=0x0014 CR3=0x00C1 NDTR=862 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51131 SR=0x00D4 CR3=0x0041 NDTR=127 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=52440 SR=0x00D4 CR3=0x0041 NDTR=796 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=52520 SR=0x00D4 CR3=0x0041 NDTR=643 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52524 SR=0x00D6 CR3=0x0041 NDTR=670 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=53136 SR=0x00D4 CR3=0x0041 NDTR=261 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=53944 SR=0x00D4 CR3=0x0041 NDTR=972 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=54014 SR=0x0014 CR3=0x00C1 NDTR=933 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=55024 SR=0x0014 CR3=0x00C1 NDTR=598 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=57551 SR=0x00D4 CR3=0x0041 NDTR=746 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=59259 SR=0x00D4 CR3=0x0041 NDTR=299 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=60684 SR=0x00D4 CR3=0x0041 NDTR=322 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=60922 SR=0x00D4 CR3=0x0041 NDTR=227 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=61364 SR=0x00D4 CR3=0x0041 NDTR=709 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=61464 SR=0x00D4 CR3=0x0041 NDTR=943 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=62009 SR=0x00D4 CR3=0x0041 NDTR=490 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=62136 SR=0x00D4 CR3=0x0041 NDTR=23 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=62507 SR=0x0014 CR3=0x00C1 NDTR=734 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=62899 SR=0x00D4 CR3=0x0041 NDTR=546 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=64347 SR=0x00D4 CR3=0x0041 NDTR=858 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=65002 SR=0x00D4 CR3=0x0041 NDTR=559 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=66173 SR=0x00D4 CR3=0x0041 NDTR=210 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=67019 SR=0x0014 CR3=0x00C1 NDTR=783 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=67296 SR=0x0014 CR3=0x00C1 NDTR=369 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=67513 SR=0x00D4 CR3=0x0041 NDTR=743 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=71095 SR=0x00D4 CR3=0x0041 NDTR=225 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=71985 SR=0x00D4 CR3=0x0041 NDTR=904 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=72573 SR=0x00D4 CR3=0x0041 NDTR=391 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=74508 SR=0x00D4 CR3=0x0041 NDTR=497 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=74560 SR=0x00D4 CR3=0x0041 NDTR=947 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=74591 SR=0x00C4 CR3=0x0041 NDTR=346 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=74665 SR=0x00D4 CR3=0x0041 NDTR=316 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=74886 SR=0x00D4 CR3=0x0041 NDTR=797 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=75606 SR=0x00D4 CR3=0x0041 NDTR=749 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=75672 SR=0x00D4 CR3=0x0041 NDTR=168 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=75730 SR=0x00D4 CR3=0x0041 NDTR=691 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=75734 SR=0x00D4 CR3=0x0041 NDTR=1018 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=75782 SR=0x00D0 CR3=0x0041 NDTR=331 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=75796 SR=0x00C4 CR3=0x0041 NDTR=507 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=75819 SR=0x00D4 CR3=0x0041 NDTR=194 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=75852 SR=0x00D4 CR3=0x0041 NDTR=741 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=75919 SR=0x00D4 CR3=0x0041 NDTR=495 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=76080 SR=0x00D4 CR3=0x0041 NDTR=824 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=76185 SR=0x00D4 CR3=0x0041 NDTR=706 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=76864 SR=0x00D4 CR3=0x0041 NDTR=760 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=78088 SR=0x00D4 CR3=0x0041 NDTR=778 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=78653 SR=0x00D4 CR3=0x0041 NDTR=804 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=78693 SR=0x00D4 CR3=0x0041 NDTR=127 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=78959 SR=0x00D4 CR3=0x0041 NDTR=690 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=79078 SR=0x00D4 CR3=0x0041 NDTR=216 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=79485 SR=0x00D4 CR3=0x0041 NDTR=166 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=79521 SR=0x00D4 CR3=0x0041 NDTR=683 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=79725 SR=0x00D4 CR3=0x0041 NDTR=334 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=79944 SR=0x00D4 CR3=0x0041 NDTR=232 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=80064 SR=0x0014 CR3=0x00C1 NDTR=308 EN=1 RxState=0x22 Err=0x00
# TCS log: max_accel=1800 jerk=25000 accel_th=400 geom_th=1500 rot_th=450 [x100] margin=150 exit=100 [mm/s] n=997
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart
9,1,0,2000,11,-4,0,-1,10,-36,0,-36,2,117,1000,45,33,24,13,10,0,-1,-11,-52,2,52,0,0
19,1,0,2000,50,-5,-9,-1,5,-28,1,-28,-10,52,1000,-13,77,-4,1,10,0,0,-118,-143,94,157,0,0
29,1,0,2000,114,5,-3,0,6,67,7,60,-2,-41,1000,-39,-9,0,0,10,2,-11,-292,-292,246,331,0,0
39,1,0,2000,203,36,-14,14,3,198,61,136,-7,-133,1000,-179,-68,66,51,9,2,-8,-535,-500,456,573,0,0
49,1,0,2000,316,36,-7,30,2,61,91,-29,-6,-120,1000,-153,-78,59,72,8,-2,15,-848,-768,725,882,0,0
59,1,0,2000,455,65,-24,49,0,189,127,62,-16,-88,1000,-274,-68,158,152,8,-7,34,-1230,-1095,1053,1258,0,0
69,1,0,2000,619,130,-72,76,-6,498,151,349,-54,-552,1000,-728,-118,227,221,7,-19,89,-1683,-1483,1438,1701,0,0
79,1,0,2000,662,184,-54,112,-16,504,167,341,-72,-717,642,-904,-266,241,412,5,-33,151,-1807,-1581,1541,1810,0,0
89,1,129,2000,506,317,-157,147,-3,1033,257,0,-169,-1601,388,-1859,-288,368,595,1,-56,278,-1393,-1213,1175,1373,0,0
99,1,129,2000,341,430,-243,191,15,1063,368,0,-272,-2572,388,-2712,-255,427,801,0,-93,618,-955,-827,780,908,0,0
109,1,129,2000,354,392,-207,229,38,160,363,-192,-223,-2451,388,-2330,-266,479,771,-1,-172,919,-1014,-877,796,924,0,0
119,1,128,2000,391,284,-56,242,46,-597,202,-807,-72,-806,388,-991,-309,673,868,-1,-243,997,-1134,-980,866,1006,0,0
129,1,0,2000,405,267,17,244,29,-278,60,-341,-15,-137,448,-504,-410,775,1020,-1,-290,1033,-1183,-1024,887,1031,0,0
139,1,0,2000,444,310,44,269,36,129,121,7,-38,-287,508,-662,-557,712,1196,-1,-319,1017,-1297,-1123,972,1130,0,0
149,1,0,2000,508,367,23,321,51,397,280,116,-51,-617,568,-984,-710,769,1246,-1,-335,960,-1475,-1277,1118,1300,0,0
159,1,0,2000,597,399,6,369,41,330,312,17,-57,-661,628,-1133,-747,849,1292,-1,-349,929,-1721,-1490,1324,1540,0,0
169,1,0,2000,710,396,58,389,35,128,206,-78,9,-229,688,-801,-946,971,1323,-1,-368,828,-2036,-1764,1587,1846,0,0
179,1,0,2000,841,441,75,409,53,379,194,184,-20,-215,749,-967,-1032,951,1532,-1,-358,765,-2388,-2068,1896,2204,0,0
189,1,132,2000,877,561,-9,465,55,875,301,553,-137,-377,292,-1758,-874,1095,1896,-1,-372,729,-2491,-2158,1977,2300,0,0
199,1,129,2000,699,743,-95,507,64,1465,366,0,-239,-861,292,-2734,-945,1374,2346,0,-395,817,-2011,-1746,1552,1810,0,0
209,1,129,2000,674,724,-131,546,67,360,370,-14,-181,-1864,292,-2833,-1166,1354,1899,0,-433,1001,-1950,-1697,1482,1732,0,0
219,1,0,2000,708,602,16,573,67,-533,278,-811,-46,-750,310,-1675,-1307,1304,1816,0,-483,903,-2055,-1789,1549,1812,0,0
229,1,0,2000,766,638,59,590,71,48,159,-111,-28,-184,370,-1519,-1403,1464,2092,0,-490,872,-2216,-1928,1685,1970,0,0
239,1,0,2000,839,688,102,633,52,320,227,92,-56,-112,430,-1637,-1554,1412,2367,0,-508,790,-2419,-2104,1851,2164,0,0
249,1,0,2000,922,748,109,688,66,433,292,141,-15,-396,490,-1785,-1902,1550,2368,0,-502,725,-2645,-2300,2050,2393,0,0
259,1,0,2000,1017,754,107,732,75,269,321,-51,-28,-198,551,-1817,-1865,1554,2425,0,-517,592,-2909,-2528,2270,2649,0,0
270,1,132,2000,1103,877,175,785,86,902,348,553,-85,541,362,-1998,-2027,1686,3156,0,-503,432,-3139,-2726,2475,2886,0,0
280,1,128,2000,958,1030,232,812,79,1254,300,0,-67,841,362,-2240,-2537,1986,3678,0,-484,253,-2739,-2380,2139,2497,0,0
289,1,128,2000,975,993,198,844,49,208,316,-107,-45,640,362,-2208,-2473,1985,3414,0,-456,253,-2776,-2412,2184,2548,0,0
300,1,0,2000,1016,910,141,881,62,-366,341,-707,-11,-92,374,-2260,-2473,1762,2759,0,-423,7,-2881,-2501,2290,2669,0,0
310,1,0,2000,1082,996,78,926,78,427,333,93,5,271,435,-2501,-2488,2235,2921,0,-398,-33,-3056,-2651,2452,2856,0,0
320,1,128,2000,1100,1098,42,951,48,757,199,0,47,577,275,-2731,-2721,2691,3067,0,-366,-233,-3095,-2684,2501,2911,0,0
330,1,128,2000,1123,1118,65,980,65,390,253,136,-7,-594,275,-3164,-2989,2245,2978,0,-337,-277,-3152,-2732,2564,2984,0,0
340,1,0,2000,1171,1079,7,1040,68,-65,410,-475,-12,-503,311,-3165,-2734,2293,2783,0,-321,-314,-3280,-2842,2682,3119,0,0
350,1,132,2000,1233,1213,47,1092,48,804,324,479,-43,15,250,-3411,-2960,2547,3400,0,-298,-398,-3443,-2982,2833,3293,0,0
360,1,128,2000,1256,1217,41,1115,56,203,273,-70,-26,-414,250,-3503,-3105,2501,3255,0,-285,-398,-3501,-3032,2890,3359,0,0
370,1,0,2000,1287,1177,128,1154,64,-59,286,-345,24,283,310,-2947,-3171,2501,3378,0,-273,-407,-3584,-3103,2966,3447,0,0
380,1,0,2000,1343,1291,113,1204,85,698,322,376,-78,-354,370,-3666,-3305,2393,3721,0,-264,-399,-3735,-3233,3101,3603,0,0
390,1,128,2000,1383,1429,-5,1243,110,992,320,0,-142,-730,250,-4478,-3266,2768,3937,0,-272,-312,-3844,-3327,3191,3708,0,0
400,1,128,2000,1406,1378,63,1267,123,81,269,-188,-47,-629,250,-3928,-3464,2797,3804,0,-279,-105,-3911,-3385,3246,3771,0,0
410,1,0,2000,1453,1355,75,1308,125,-86,273,-360,12,138,298,-3525,-3403,3050,3820,0,-303,-129,-4045,-3502,3351,3894,0,0
420,1,128,2000,1493,1524,67,1349,105,1050,265,0,-7,849,250,-3873,-3555,3591,4484,0,-297,-141,-4153,-3595,3447,4004,0,0
430,1,132,2000,1515,1690,168,1387,100,1281,346,934,-54,1073,250,-4192,-4028,3673,5274,0,-284,-195,-4208,-3642,3500,4066,0,0
440,1,128,2000,1557,1550,124,1432,105,-355,406,-761,-53,406,250,-4048,-3753,3291,4648,0,-285,-157,-4324,-3742,3600,4182,0,0
450,1,0,2000,1608,1556,38,1460,87,25,183,-157,48,774,310,-3937,-3745,3830,4353,0,-271,-239,-4460,-3859,3724,4324,0,0
460,1,0,2000,1670,1520,31,1485,57,-163,134,-298,78,141,370,-3955,-3884,3673,4012,0,-252,-265,-4624,-4000,3874,4498,0,0
470,1,128,2000,1675,1675,71,1525,76,977,217,0,-45,-515,250,-4703,-4175,3498,4637,0,-258,-161,-4640,-4014,3885,4511,0,0
480,1,133,2000,1689,1929,55,1575,74,1791,405,1385,-183,281,250,-5501,-4175,4016,5818,0,-271,-73,-4681,-4050,3914,4545,0,0
490,1,133,2000,1727,1972,155,1626,39,892,449,442,-154,1518,250,-5126,-4339,4192,6303,0,-271,-349,-4785,-4140,4004,4649,0,0
500,1,128,2000,1772,1864,228,1644,41,-286,260,-546,33,194,250,-4614,-5046,3905,5423,0,-222,-322,-4896,-4234,4122,4784,0,0
510,1,128,2000,1791,1806,149,1648,60,-434,148,0,70,-95,250,-4587,-4878,3989,4978,0,-217,-268,-4947,-4277,4168,4838,0,0
