# TCS log (read from RAM via SWD) n=997
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
9,1,0,3000,15,0,3,2,-2,-18,8,-26,5,-30,1000,9,-33,0,-11,-3,0,0,-47,-28,43,35,0,0,-117,-97,99,114
19,1,0,3000,51,23,0,7,0,149,27,122,3,-86,1000,-74,-85,41,37,-3,-1,5,-146,-114,128,134,0,0,-207,-178,170,206
29,1,0,3000,91,80,20,33,5,404,115,289,-21,26,1000,-208,-164,106,323,-3,-7,48,-257,-210,221,242,0,0,-233,-210,177,213
39,1,0,3000,131,138,14,81,7,508,239,269,-60,-14,1000,-467,-200,153,543,-3,-12,54,-367,-305,314,350,0,0,-225,-203,186,224
49,1,0,3000,171,182,31,139,9,459,349,110,-70,285,1000,-524,-266,248,775,-2,-9,-24,-476,-399,409,460,0,0,-222,-196,198,233
59,1,0,3000,211,219,66,193,21,399,393,6,-85,534,1000,-558,-366,249,1007,-2,5,-143,-581,-490,506,573,0,0,-228,-194,207,235
69,1,0,3000,251,306,159,242,38,675,361,315,-146,1636,1000,-518,-406,312,1784,-2,38,-323,-683,-576,609,691,0,0,-223,-171,227,236
79,1,0,3000,291,282,88,279,63,86,294,-208,-83,938,1000,-599,-488,431,1298,-2,75,-217,-782,-661,712,809,0,0,-239,-198,220,243
89,1,0,3000,331,291,40,298,59,120,252,-132,-61,388,1000,-766,-546,524,1090,-2,57,-50,-896,-760,802,914,0,0,-267,-234,197,230
99,1,132,3000,371,418,99,339,54,813,306,507,-116,866,1000,-1012,-744,656,1770,-2,28,-107,-1012,-862,889,1016,0,0,-244,-200,218,239
