# rx_stall wheel=1 t=39155 SR=0x00D4 CR3=0x0041 NDTR=475 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=43916 SR=0x00D4 CR3=0x0041 NDTR=752 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=49615 SR=0x00D4 CR3=0x0041 NDTR=305 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=50260 SR=0x0014 CR3=0x00C1 NDTR=375 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51256 SR=0x00D4 CR3=0x0041 NDTR=930 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=51301 SR=0x00D4 CR3=0x0041 NDTR=347 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51647 SR=0x00D4 CR3=0x0041 NDTR=674 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52265 SR=0x00D# rx_stall wheel=2 t=49628 SR=0x0014 CR3=0x00C1 NDTR=232 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50073 SR=0x00D4 CR3=0x0041 NDTR=584 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=50480 SR=0x00D4 CR3=0x0041 NDTR=43 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50843 SR=0x00D4 CR3=0x0041 NDTR=467 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52483 SR=0x00D4 CR3=0x0041 NDTR=381 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=53148 SR=0x00D4 CR3=0x0041 NDTR=90 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55006 SR=0x00D4 CR3=0x0041 NDTR=722 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55546 SR=0x00D4 CR3=0x0041 NDTR=70 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55877 SR=0x00D4 CR3=0x0041 NDTR=125 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=56923 SR=0x00D4 CR3=0x0041 NDTR=661 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=57226 SR=0x00D4 CR3=0x0041 NDTR=880 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60248 SR=0x00D4 CR3=0x0041 NDTR=341 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60756 SR=0x00D4 CR3=0x0041 NDTR=851 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=61867 SR=0x00D4 CR3=0x0041 NDTR=825 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=63766 SR=0x00D4 CR3=0x0041 NDTR=140 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=65238 SR=0x00D4 CR3=0x0041 NDTR=10 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=68963 SR=0x00D4 CR3=0x0041 NDTR=192 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=70053 SR=0x00D4 CR3=0x0041 NDTR=841 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=71071 SR=0x0014 CR3=0x00C1 NDTR=942 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=71110 SR=0x00D4 CR3=0x0041 NDTR=327 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=73351 SR=0x00D4 CR3=0x0041 NDTR=616 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=74675 SR=0x00D4 CR3=0x0041 NDTR=89 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=77167 SR=0x00D4 CR3=0x0041 NDTR=988 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=78506 SR=0x00D4 CR3=0x0041 NDTR=925 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=79200 SR=0x00D4 CR3=0x0041 NDTR=849 EN=1 RxState=0x22 Err=0x00
# TCS log: max_accel=1800 jerk=25000 accel_th=400 geom_th=1500 rot_th=450 [x100] margin=150 exit=100 [mm/s] n=997
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
9,1,0,2000,10,8,1,0,-7,59,1,58,8,-42,1000,-14,-55,26,-3,-6,0,-1,-42,-8,41,15,0,0,-1,0,1,0
19,1,0,2000,49,1,3,1,-5,-23,2,-25,1,-23,1000,2,-22,-7,0,-6,0,0,-147,-100,132,122,0,0,-4,-3,4,4
29,1,0,2000,113,3,2,1,-4,16,4,11,-3,9,1000,-9,-4,-2,24,-6,0,1,-321,-251,282,296,0,0,-10,-8,9,9
39,1,0,2000,202,-1,-8,2,-3,-26,8,-35,-6,49,1000,-13,52,12,4,-6,0,-1,-563,-461,491,540,0,0,-18,-15,16,17
49,1,0,2000,315,-3,4,3,-3,-38,14,-52,1,-67,1000,4,-22,-33,-22,-5,0,-3,-873,-730,758,851,0,0,-29,-25,25,28
59,1,0,2000,454,6,7,4,0,53,24,29,4,-30,1000,-4,-52,-2,12,-5,1,-9,-1251,-1059,1085,1232,0,0,-42,-36,36,40
69,1,0,2000,618,8,15,9,2,38,35,3,-5,87,1000,13,-26,-13,79,-4,3,-19,-1697,-1446,1470,1681,0,0,-57,-49,49,55
79,1,0,2000,800,24,14,16,6,102,44,58,10,-7,1000,-28,-125,41,64,-4,4,-28,-2191,-1874,1896,2177,0,0,-74,-65,63,70
89,1,0,2000,980,27,2,27,6,40,73,-33,-1,-9,1000,-91,-85,38,66,-3,7,-61,-2681,-2300,2320,2671,0,0,-91,-80,76,85
99,1,0,2000,1160,40,3,37,5,108,93,15,0,-37,1000,-135,-138,55,79,-2,15,-97,-3169,-2723,2745,3166,0,0,-108,-95,90,100
109,1,0,2000,1338,57,5,50,4,154,108,45,0,41,1000,-158,-165,109,152,-2,25,-97,-3653,-3144,3167,3657,0,0,-125,-110,103,115
119,1,0,2000,1509,72,-3,65,1,160,121,39,-6,40,1000,-242,-171,138,177,-1,37,-144,-4114,-3543,3570,4127,0,0,-141,-124,115,129
129,1,0,2000,1654,98,6,86,-4,220,155,65,-13,98,1000,-307,-235,163,286,-1,51,-187,-4508,-3885,3916,4529,0,0,-155,-137,125,141
139,1,0,2000,1775,114,13,112,-5,170,201,-30,-14,166,1000,-330,-278,190,357,0,62,-215,-4833,-4167,4202,4861,0,0,-167,-147,134,152
149,1,0,2000,1871,131,5,132,-4,162,199,-36,-11,-34,1000,-442,-366,199,325,0,73,-244,-5091,-4390,4429,5126,0,0,-176,-155,141,160
159,1,0,2000,1941,169,3,155,0,299,202,97,-8,68,1000,-539,-454,306,423,0,98,-327,-5277,-4551,4601,5325,0,0,-183,-161,146,166
169,1,0,2000,1987,205,6,183,3,322,209,113,-31,176,1000,-677,-483,327,580,0,122,-422,-5395,-4652,4714,5456,0,0,-187,-164,149,170
179,1,0,2000,2000,224,-4,213,0,238,235,0,-20,67,1000,-766,-571,388,548,0,149,-471,-5423,-4676,4751,5498,0,0,-188,-165,150,171
189,1,0,2000,2000,248,-11,242,-2,243,253,0,-28,7,1000,-888,-612,416,591,0,169,-510,-5418,-4671,4756,5503,0,0,-188,-165,150,171
199,1,0,2000,2000,278,-8,269,-6,272,246,0,-20,93,1000,-924,-689,518,683,0,182,-513,-5415,-4668,4759,5506,0,0,-188,-165,150,171
209,1,0,2000,2000,312,20,301,0,333,281,0,-22,240,1000,-942,-809,551,863,0,205,-560,-5409,-4662,4765,5512,0,0,-188,-165,150,171
219,1,0,2000,2000,356,25,330,0,412,249,0,-48,150,1000,-1137,-892,552,1016,0,225,-589,-5404,-4657,4770,5517,0,0,-188,-164,151,172
230,1,0,2000,2000,385,5,357,7,316,199,0,-29,106,1000,-1234,-979,694,997,0,247,-622,-5399,-4652,4775,5522,0,0,-187,-164,151,172
240,1,0,2000,2000,387,7,375,7,159,162,0,-21,44,1000,-1227,-1014,704,978,0,258,-597,-5396,-4649,4778,5525,0,0,-187,-164,151,172
250,1,0,2000,2000,425,6,403,9,261,197,0,-41,64,1000,-1383,-1063,737,1116,0,281,-651,-5390,-4643,4784,5531,0,0,-187,-164,151,172
260,1,0,2000,2000,443,3,432,12,233,230,0,-35,-16,1000,-1454,-1142,773,1117,0,307,-686,-5384,-4637,4790,5537,0,0,-187,-164,151,172
270,1,0,2000,2000,476,-17,455,14,265,188,0,-37,-66,1000,-1609,-1185,876,1150,0,330,-716,-5378,-4631,4796,5543,0,0,-187,-164,151,172
280,1,0,2000,2000,504,-18,480,-2,276,181,0,-32,-43,1000,-1677,-1262,958,1217,0,353,-738,-5372,-4625,4802,5549,0,0,-186,-163,152,173
