# rx_stall wheel=1 t=51441 SR=0x00D4 CR3=0x0041 NDTR=268 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=51728 SR=0x00D4 CR3=0x0041 NDTR=147 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=56455 SR=0x00D4 CR3=0x0041 NDTR=1000 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=57298 SR=0x00D4 CR3=0x0041 NDTR=785 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=57716 SR=0x00D4 CR3=0x0041 NDTR=2 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=58220 SR=0x0014 CR3=0x00C1 NDTR=133 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=58324 SR=0x00D4 CR3=0x0041 NDTR=898 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=58567 SR=0x00D4 CR3=0x0041 NDTR=431 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=59119 SR=0x00D4 CR3=0x0041 NDTR=903 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=59180 SR=0x00D4 CR3=0x0041 NDTR=756 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=62041 SR=0x00D4 CR3=0x0041 NDTR=564 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=63659 SR=0x00D4 CR3=0x0041 NDTR=748 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=64234 SR=0x00D4 CR3=0x0041 NDTR=274 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=66446 SR=0x0014 CR3=0x00C1 NDTR=437 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=66522 SR=0x00D4 CR3=0x0041 NDTR=926 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=71342 SR=0x00D4 CR3=0x0041 NDTR=298 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=73932 SR=0x00D4 CR3=0x0041 NDTR=71 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=74707 SR=0x00D4 CR3=0x0041 NDTR=644 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=76258 SR=0x0014 CR3=0x00C1 NDTR=929 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=78596 SR=0x00D4 CR3=0x0041 NDTR=102 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=79779 SR=0x0014 CR3=0x00C1 NDTR=716 EN=1 RxState=0x22 Err=0x00
# TCS log: max_accel=1800 jerk=25000 accel_th=400 geom_th=1500 rot_th=450 [x100] margin=150 exit=100 [mm/s] n=996
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
9,1,0,2000,10,-1,-4,-1,-6,-1,6,-8,6,50,1000,22,9,36,-14,-7,0,-1,-43,-8,43,15,0,0,-40,-27,33,33
19,1,0,2000,49,1,7,-1,-4,42,4,38,-7,-45,1000,-18,-14,-41,22,-7,0,0,-148,-99,133,121,0,0,-102,-80,80,94
29,1,0,2000,113,22,0,7,-1,158,43,114,-4,19,1000,-64,-38,48,78,-6,-1,5,-322,-250,282,295,0,0,-152,-141,124,154
39,1,0,2000,201,54,5,28,0,239,98,141,-32,67,1000,-183,-38,58,249,-6,-5,23,-564,-461,489,536,0,0,-196,-178,161,196
49,1,0,2000,315,106,10,65,1,409,198,211,-29,25,1000,-317,-187,170,389,-6,-9,38,-875,-731,756,847,0,0,-242,-218,201,242
59,1,0,2000,454,185,39,115,5,661,281,380,-82,363,1000,-508,-228,239,855,-5,-8,31,-1253,-1059,1082,1227,0,0,-293,-257,246,288
69,1,129,2000,359,318,138,155,-4,1071,312,0,-162,1371,600,-624,-344,354,1811,-2,7,-51,-983,-838,854,977,0,0,-97,-73,85,83
79,1,133,2000,322,402,283,191,-17,766,346,543,-269,2862,600,-490,-307,257,2859,0,25,-289,-874,-751,766,885,0,0,-105,-53,106,77
89,1,128,2000,353,273,145,212,-20,-495,250,-760,-143,1785,600,-417,-275,304,1687,0,76,-356,-944,-816,850,986,0,0,-143,-110,135,139
99,1,0,2000,369,223,37,208,-14,-436,46,-528,-40,468,635,-542,-431,423,851,1,82,-132,-986,-855,888,1034,0,0,-121,-111,99,121
109,1,0,2000,398,224,-18,217,0,-169,68,-248,-9,160,695,-642,-435,575,626,2,37,-52,-1074,-935,943,1102,0,0,-154,-149,119,156
119,1,0,2000,452,276,16,247,-3,246,171,75,-45,229,755,-779,-538,545,926,2,32,-61,-1221,-1064,1067,1248,0,0,-185,-170,156,190
129,1,0,2000,530,330,45,290,-4,419,262,157,-92,889,815,-835,-477,623,1367,3,45,-171,-1432,-1246,1255,1466,0,0,-222,-195,197,230
139,1,0,2000,634,396,82,331,13,547,237,309,-131,1180,875,-976,-576,646,1749,3,78,-265,-1706,-1483,1507,1757,0,0,-267,-227,239,269
150,1,129,2000,527,490,122,355,22,790,198,0,-150,1420,532,-1136,-783,787,2184,2,87,-259,-1414,-1226,1260,1466,0,0,-113,-85,104,105
160,1,129,2000,517,509,125,383,19,377,259,112,-168,1668,532,-1166,-733,832,2335,1,100,-289,-1386,-1198,1242,1442,0,0,-130,-99,121,123
170,1,128,2000,551,443,174,406,3,-302,222,-529,-115,2114,532,-683,-727,789,2233,0,115,-347,-1475,-1273,1327,1537,0,0,-174,-128,165,164
180,1,0,2000,566,380,65,412,6,-496,143,-629,-35,855,550,-832,-801,814,1400,0,123,-215,-1515,-1306,1365,1579,0,0,-154,-131,134,151
190,1,0,2000,600,394,-10,416,22,-97,136,-229,-13,184,610,-1111,-855,938,1102,0,92,-119,-1616,-1392,1437,1663,0,0,-185,-172,152,187
200,1,0,2000,659,446,3,429,6,274,133,141,-46,211,670,-1285,-921,954,1352,0,86,-107,-1778,-1532,1575,1822,0,0,-217,-197,187,224
