# rx_stall wheel=2 t=40492 SR=0x0014 CR3=0x00C1 NDTR=76 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=41100 SR=0x00D4 CR3=0x0041 NDTR=137 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=45199 SR=0x00D4 CR3=0x0041 NDTR=69 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=48725 SR=0x0014 CR3=0x00C1 NDTR=656 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=48898 SR=0x00D4 CR3=0x0041 NDTR=412 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=50093 SR=0x00D4 CR3=0x0041 NDTR=694 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=50513 SR=0x00D4 CR3=0x0041 NDTR=858 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51498 SR=0x00D4 CR3=0x0041 NDTR=324 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55641 SR=0x00D4 CR3=0x0041 NDTR=996 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=56035 SR=0x00D4 CR3=0x0041 NDTR=631 EN=1 RxState=0# rx_stall wheel=3 t=50545 SR=0x00D4 CR3=0x0041 NDTR=794 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=51651 SR=0x00D4 CR3=0x0041 NDTR=804 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=52209 SR=0x00D4 CR3=0x0041 NDTR=807 EN=1 RxState=0x22 Err=0x00
Robot Initialize Start
IMU Calibration loaded from flash  GyroBias[dps] X:+0.495 Y:-0.976 Z:-0.551
                      AccelBias[g]  X:-0.0147 Y:-0.0112
Robot Initialize Finish
Rock SPI stall detected (no master clock for 750ms), re-arming
# rx_stall wheel=0 t=1247 SR=0x00D4 CR3=0x0041 NDTR=488 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=1358 SR=0x0014 CR3=0x00C1 NDTR=779 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=2265 SR=0x00D4 CR3=0x0041 NDTR=820 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=2520 SR=0x00D4 CR3=0x0041 NDTR=697 EN=1 RxState=0x22 Err=0x00
t_ms,seg,t0_x100,t1_x100,t2_x100,t3_x100,w0_x100,w1_x100,w2_x100,w3_x100,v0_x100,v1_x100,v2_x100,v3_x100,s,rx
0,0,10,-11,-6,16,12,-11,-6,14,0,0,0,0,0000,4
10,0,-48,-62,38,68,11,-11,-1,2,-1,-2,1,2,1101,4
20,0,-163,-160,137,182,-28,-38,-18,2,-5,-5,4,6,1111,4
30,0,-354,-325,302,372,26,0,-14,-8,-11,-11,10,12,1111,4
40,0,-595,-532,510,612,-70,-8,68,44,-20,-18,17,20,1111,4
50,0,-899,-793,773,916,-56,-41,72,130,-30,-27,26,30,1111,4
60,0,-1312,-1148,1130,1327,-150,-126,186,204,-44,-39,38,44,1111,4
70,0,-1768,-1540,1524,1781,-375,-205,340,448,-59,-53,51,58,1111,4
80,0,-2258,-1962,1947,2270,-720,-475,716,755,-76,-68,64,73,1111,4
90,0,-2749,-2383,2371,2759,-1150,-857,1045,1121,-93,-83,78,87,1111,4
100,0,-3246,-2810,2801,3254,-1508,-1233,1444,1567,-111,-98,92,102,1111,4
110,0,-3702,-3202,3194,3708,-1893,-1595,1777,1950,-127,-112,104,116,1111,4
120,0,-4190,-3622,3616,4195,-2367,-1984,2381,2453,-144,-127,117,131,1111,4
130,0,-4606,-3979,3975,4609,-2822,-2325,2816,3017,-159,-140,127,144,1111,4
140,0,-4918,-4248,4245,4920,-3373,-2782,3133,3400,-170,-150,135,153,1111,4
150,0,-5195,-4486,4484,5196,-3855,-3173,3398,3962,-180,-158,142,162,1111,4
160,0,-5399,-4661,4661,5400,-4298,-3580,3704,4360,-187,-165,147,168,1111,4
170,0,-5461,-4714,4714,5461,-4659,-3975,3839,4794,-190,-167,149,170,1111,4
180,0,-5461,-4714,4714,5461,-5073,-4221,3677,5116,-190,-167,149,170,1111,4
190,0,-5461,-4714,4714,5461,-5437,-4426,4105,5378,-190,-167,149,170,1111,4
200,0,-5461,-4714,4714,5461,-5703,-4676,4437,5537,-190,-167,149,170,1111,4
210,0,-5461,-4714,4714,5461,-5368,-4741,4644,5248,-190,-167,149,170,1111,4
220,0,-5461,-4714,4714,5461,-5535,-4851,4781,5328,-190,-167,149,170,1111,4
230,0,-5461,-4714,4714,5461,-5398,-4962,4807,5339,-190,-167,149,170,1111,4
240,0,-5461,-4714,4714,5461,-5237,-5056,4737,5328,-190,-167,149,170,1111,4
250,0,-5461,-4714,4714,5461,-5250,-4662,4807,5312,-190,-167,149,170,1111,4
260,0,-5461,-4714,4714,5461,-5312,-4678,4811,5408,-190,-167,149,170,1111,4
270,0,-5461,-4714,4714,5461,-5333,-4603,4794,5512,-190,-167,149,170,1111,4
280,0,-5461,-4714,4714,5461,-5371,-4850,4886,5511,-190,-167,149,170,1111,4
290,0,-5461,-4714,4714,5461,-5471,-4440,4861,5653,-190,-167,149,170,1111,4
300,0,-5461,-4714,4714,5461,-5442,-4687,4690,5648,-190,-167,149,170,1111,4
310,0,-5461,-4714,4714,5461,-5816,-4695,4300,5694,-190,-167,149,170,1111,4
320,0,-5461,-4714,4714,5461,-5632,-4696,4258,5775,-190,-167,149,170,1111,4
330,0,-5461,-4714,4714,5461,-5510,-4740,4632,5246,-190,-167,149,170,1111,4
340,0,-5461,-4714,4714,5461,-5633,-4823,4667,5296,-190,-167,149,170,1111,4
