"no","向き","dir","回","指令上限","指令実測","IMU","車輪","比","窓ms","終速度","状態","メモ"
"1","前(+x)","0","1","1.5","1.5","1.18","1.38","0.79","897","1.333","1",""
"2","前(+x)","0","1","2.5","2.5","1.82","2.22","0.73","474","1.289","1",""
"3","後(-x)","1","1","1.5","1.5","1.12","1.38","0.75","913","1.358","1",""
"4","後(-x)","1","1","2.5","2.5","1.8","2.33","0.72","477","1.365","1",""
"5","左(+y)","2","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"6","左(+y)","2","1","2.5","2.5","1.52","2.7","0.61","469","1.58","1",""
"7","右(-y)","3","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"8","右(-y)","3","1","2.5","2.5","1.64","2.42","0.66","488","1.602","1",""
"9","前(+x)","0","1","1.5","1.5","1.2","1.38","0.8","883","1.36","1",""
"10","前(+x)","0","1","2.5","2.5","1.8","2.36","0.72","474","1.428","1",""
"11","後(-x)","1","1","1.5","1.5","1.06","1.38","0.71","910","1.403","1",""
"12","後(-x)","1","1","2.5","2.5","1.73","2.29","0.69","474","1.351","1",""
"13","左(+y)","2","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"14","左(+y)","2","1","2.5","2.5","1.54","2.21","0.62","469","1.375","1",""
"15","右(-y)","3","1","1.5","0","0","0",,"0","1.778","0","走らず(範囲不足) 必要 1.78 m と予測"
"16","右(-y)","3","1","2.5","2.5","1.57","2.44","0.63","485","1.401","1",""
"17","前(+x)","0","2","1.5","1.5","1.16","1.38","0.77","877","1.342","1",""
"18","前(+x)","0","2","2.5","2.5","1.77","2.3","0.71","479","1.483","1",""
"19","後(-x)","1","2","1.5","1.5","1.11","1.42","0.74","907","1.401","1",""
"20","後(-x)","1","2","2.5","2.5","1.78","2.26","0.71","468","1.403","1",""
"21","左(+y)","2","2","1.5","1.5","0.92","1.2","0.61","904","1.222","1",""
"22","左(+y)","2","2","2.5","2.5","1.57","2.39","0.63","482","1.575","1",""
"23","右(-y)","3","2","1.5","1.5","0.95","1.25","0.63","919","1.25","1",""
"24","右(-y)","3","2","2.5","2.5","1.49","2.21","0.6","474","1.321","1",""
"25","前(+x)","0","2","1.5","1.5","1.16","1.38","0.77","903","1.422","1",""
"26","前(+x)","0","2","2.5","2.5","1.76","2.2","0.7","478","1.349","1",""
"27","後(-x)","1","2","1.5","1.5","1.15","1.33","0.77","889","1.302","1",""
"28","後(-x)","1","2","2.5","2.5","1.85","2.35","0.74","475","1.419","1",""
"29","左(+y)","2","2","1.5","1.5","0.93","1.21","0.62","913","1.09","1",""
"30","左(+y)","2","2","2.5","2.5","1.5","2.23","0.6","474","1.415","1",""
"31","右(-y)","3","2","1.5","1.5","0.88","1.34","0.59","913","1.267","1",""
"32","右(-y)","3","2","2.5","2.5","1.42","2.4","0.57","473","1.366","1",""
