t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
10,1,64,1813,49,2,0,-1,-4,27,-1,29,4,2,1000,4,-16,17,-2,-5,0,0,-147,-104,131,125,0,0,-182,-158,156,180
20,1,64,1848,130,51,6,8,-1,302,11,290,-14,-21,1000,-164,-106,66,177,-5,0,-1,-365,-293,319,344,0,0,-233,-202,186,236
30,1,64,1892,210,96,6,51,0,410,192,218,-51,82,1000,-340,-95,104,408,-5,-1,2,-584,-482,507,562,0,0,-253,-211,200,255
40,1,64,1940,290,153,18,102,5,488,291,197,-55,190,1000,-458,-224,224,612,-5,11,-20,-799,-668,698,784,0,0,-262,-230,218,264
50,1,64,1989,370,233,84,160,3,733,362,371,-105,820,1000,-502,-286,291,1227,-5,9,-14,-1018,-858,886,1003,0,0,-269,-219,225,261
60,1,64,2038,450,300,143,222,29,679,370,309,-142,1325,1000,-538,-383,329,1708,-4,43,-81,-1227,-1038,1083,1230,0,0,-275,-211,246,275
70,1,197,2082,530,387,211,265,30,807,378,430,-193,1916,1000,-628,-494,377,2315,-4,87,-158,-1434,-1216,1282,1460,0,0,-279,-198,258,278
80,1,193,2102,610,396,84,294,35,290,313,-24,-169,883,1000,-1094,-528,502,1791,-4,97,-136,-1650,-1403,1473,1681,0,0,-296,-239,252,297
90,1,64,2110,690,387,52,334,34,121,281,-160,-100,573,1000,-1017,-635,696,1525,-4,71,41,-1875,-1598,1655,1894,0,0,-293,-246,231,275
100,1,197,2114,770,564,145,381,26,1093,343,750,-231,1553,1000,-1400,-741,774,2672,-4,5,-120,-2110,-1803,1827,2096,0,0,-306,-231,260,298
110,1,193,2115,850,524,65,422,34,125,368,-243,-153,918,1000,-1431,-808,908,2087,-4,95,-104,-2306,-1970,2037,2337,0,0,-307,-253,261,311
120,1,64,2116,930,553,49,474,32,299,341,-42,-102,770,1000,-1461,-992,1111,2000,-4,84,-68,-2527,-2162,2223,2554,0,0,-308,-260,257,306
130,1,193,2116,1010,648,82,527,27,685,330,355,-177,1140,1000,-1741,-1035,1146,2558,-3,100,-139,-2741,-2347,2415,2776,0,0,-318,-257,281,332
140,1,197,2116,1090,816,21,559,41,1285,329,955,-299,555,1000,-2696,-1104,1264,3040,-3,122,-32,-2953,-2530,2609,3001,0,0,-351,-289,275,345
150,1,193,2116,1170,817,-105,596,61,485,353,130,-263,-886,1000,-3183,-1214,1338,2404,-3,79,137,-3183,-2730,2787,3208,0,0,-336,-300,246,340
161,1,193,2116,1250,856,-72,634,46,470,372,98,-250,-566,1000,-3128,-1345,1456,2617,-3,-11,101,-3424,-2942,2952,3405,0,0,-351,-308,260,347
171,1,197,2116,1331,957,-85,678,26,808,400,407,-294,-986,1000,-3630,-1552,1504,2853,-3,0,84,-3641,-3129,3145,3628,0,0,-349,-305,259,354
181,1,197,2116,1411,1082,-291,688,77,1098,222,872,-312,-2998,1000,-4828,-1739,1819,2418,-3,-2,408,-3859,-3319,3333,3846,0,0,-336,-324,207,340
191,1,193,2116,1490,1056,-266,710,89,157,221,-65,-308,-2600,1000,-4602,-1648,1807,2488,-2,-128,408,-4108,-3538,3488,4032,0,0,-344,-321,192,317
201,1,197,1386,988,989,-149,772,42,-218,459,794,-249,-2019,1000,-3955,-1802,1628,2510,-201,211,267,-3030,-1801,2856,2365,0,0,-43,-42,-26,19
211,1,197,1418,909,924,-193,823,86,-673,483,1095,-251,-2519,1000,-4012,-1685,1431,2110,-185,-17,190,-2842,-1711,2577,2125,0,0,-40,-51,-54,6
221,1,196,1460,831,681,-60,799,118,-1668,56,1798,-126,-1277,1000,-2493,-1398,1192,1769,-169,-188,292,-2640,-1606,2311,1898,0,0,17,-14,-74,-33
231,1,196,1507,752,619,-2,722,80,-995,-449,690,-66,-629,1000,-2010,-1463,1130,1657,-153,-172,-59,-2392,-1455,2093,1718,0,0,39,8,-40,-8
241,1,196,1556,674,573,22,715,78,-689,-204,571,-31,-64,1000,-1685,-1421,1129,1581,-137,29,-312,-2097,-1258,1920,1585,0,0,55,24,-16,12
251,1,196,1596,595,527,35,722,84,-563,-35,558,-17,102,1000,-1475,-1350,1051,1482,-121,173,-363,-1816,-1074,1734,1438,0,0,64,27,-34,-5
261,1,192,1612,517,499,24,702,118,-371,-145,187,-32,267,1000,-1390,-1159,1035,1474,-105,166,-285,-1573,-929,1510,1252,0,0,67,25,-50,-16
271,1,192,1619,439,476,45,651,98,-243,-376,-87,-37,-157,1000,-1379,-1224,834,1382,-89,134,-187,-1336,-790,1279,1061,0,0,67,27,-59,-27
281,1,192,1377,360,443,72,631,106,-289,-242,76,-10,122,1000,-1109,-1205,833,1357,-73,145,-181,-1089,-640,1060,880,0,0,17,0,-9,6
291,1,192,1172,282,414,67,620,132,-284,-170,91,-14,61,1000,-1061,-1128,754,1262,-57,156,-174,-841,-490,840,699,0,0,19,0,-13,4
301,1,192,1089,203,418,70,580,127,-84,-329,-229,-24,-137,1000,-1134,-1166,682,1256,-41,163,-161,-595,-341,619,518,0,0,16,0,-15,4
311,1,64,1055,125,429,68,540,108,23,-226,-227,-26,-127,1000,-1182,-1192,701,1273,-25,201,-212,-341,-185,406,344,0,0,15,0,-8,12
321,1,64,1041,47,391,64,507,100,-211,-79,126,-19,-55,1000,-1054,-1092,657,1171,-9,216,-203,-92,-34,187,164,0,0,19,2,-9,11
331,1,64,1036,0,387,61,460,90,-116,-156,0,-17,95,1000,-996,-1037,704,1191,0,219,-178,54,54,54,54,0,0,9,14,14,14
341,1,64,1033,0,375,55,410,85,-101,-262,0,-10,-30,1000,-985,-1033,683,1110,0,216,-146,54,54,54,54,0,0,11,14,13,13
351,1,64,1033,0,356,49,382,80,-146,-200,0,0,70,1000,-883,-963,723,1063,0,203,-87,50,50,50,50,0,0,12,17,2,-1
361,1,64,1032,0,333,47,372,66,-202,-79,0,-13,63,1000,-839,-854,647,1038,0,189,-30,47,47,47,47,0,0,15,20,0,-3
371,1,64,1032,0,301,49,350,63,-249,-88,0,-18,39,1000,-755,-766,562,971,0,163,17,40,40,40,40,0,1,16,23,-4,-11
381,1,64,1032,0,302,48,313,61,-73,-197,0,-15,10,1000,-749,-770,580,968,0,144,62,36,36,36,36,0,1,17,23,-3,-10
391,1,64,1032,0,300,50,293,47,-61,-199,0,-18,-30,1000,-749,-766,560,972,0,116,93,29,29,29,29,0,1,16,23,-6,-15
401,1,64,1032,0,263,63,285,45,-240,-106,0,-8,-7,1000,-585,-719,483,888,0,94,132,23,23,23,23,0,2,13,25,-7,-21
411,1,64,1032,0,249,42,272,59,-188,-86,0,-9,-11,1000,-587,-631,496,816,0,65,143,16,16,16,16,0,2,20,27,-12,-24
421,1,64,1032,0,235,31,244,42,-158,-173,0,-22,-25,1000,-604,-547,456,778,0,54,135,13,13,13,13,0,2,27,31,-13,-22
431,1,64,1032,0,219,42,221,37,-145,-192,0,-19,118,1000,-496,-506,431,785,0,43,135,10,10,10,10,0,2,24,32,-11,-25
441,1,0,1032,0,199,38,203,46,-168,-179,0,-3,-1,1000,-442,-518,408,662,0,25,148,6,6,6,6,0,2,22,30,-13,-26
451,1,0,1032,0,197,34,184,30,-95,-200,0,2,-71,1000,-450,-533,408,619,0,15,145,3,3,3,3,0,2,22,29,-15,-28
461,1,0,1032,0,184,28,171,27,-100,-175,0,-2,-8,1000,-423,-467,390,593,0,15,124,3,3,3,3,0,2,22,27,-14,-26
471,1,0,1032,0,162,16,162,28,-155,-130,0,-9,11,1000,-400,-365,351,528,0,10,116,2,2,2,2,0,2,21,24,-14,-23
481,1,0,1032,0,142,22,148,18,-189,-132,0,-3,78,1000,-300,-328,328,492,0,-8,133,-2,-2,-2,-2,0,2,16,21,-14,-24
492,1,0,1032,0,137,19,132,16,-108,-155,0,-16,-119,1000,-367,-326,241,452,0,-21,138,-5,-5,-5,-5,0,2,15,19,-15,-25
502,1,0,1032,0,122,13,119,15,-137,-147,0,-10,19,1000,-293,-256,270,419,0,-29,132,-7,-7,-7,-7,0,2,14,16,-16,-24
512,1,0,1032,0,105,26,108,15,-174,-125,0,10,76,1000,-166,-288,262,367,0,-35,123,-8,-8,-8,-8,0,2,10,16,-13,-25
522,1,0,1032,0,94,8,95,17,-131,-130,0,0,-14,1000,-220,-220,228,297,0,-35,106,-8,-8,-8,-8,0,2,11,13,-14,-21
532,1,0,1032,0,79,10,79,15,-120,-135,0,-7,16,1000,-191,-170,165,277,0,-26,73,-6,-6,-6,-6,0,2,11,13,-11,-19
542,1,0,1032,0,82,0,72,10,-38,-107,0,-4,7,1000,-226,-171,195,247,0,-12,36,-3,-3,-3,-3,0,2,15,14,-12,-16
552,1,0,1032,0,61,10,67,8,-158,-85,0,0,7,1000,-145,-166,124,190,0,2,3,0,0,0,0,0,2,13,16,-7,-13
865,2,64,1804,-29,2,4,0,0,35,2,-33,-3,11,1000,-3,-4,-8,25,6,-1,1,91,53,-84,-67,0,3,180,151,-153,-174
875,2,64,1832,-108,-34,19,-5,2,-244,-19,224,12,-19,1000,151,-1,-102,-87,6,0,-2,307,240,-269,-283,0,3,214,176,-174,-212
885,2,64,1873,-188,-72,20,-35,7,-310,-135,174,-1,-210,1000,171,63,-283,-218,6,12,-37,528,432,-455,-499,0,3,238,204,-192,-237
895,2,64,1920,-268,-111,29,-86,11,-340,-297,42,-29,-197,1000,228,195,-473,-254,5,27,-79,750,624,-639,-714,0,3,252,235,-205,-250
905,2,64,1968,-348,-141,19,-132,16,-325,-364,-39,-32,-164,1000,285,296,-532,-352,5,54,-120,975,820,-820,-925,0,3,259,240,-208,-252
915,2,64,2018,-428,-154,10,-166,18,-223,-359,-135,-2,-38,1000,385,291,-448,-452,5,84,-176,1201,1017,-1001,-1137,0,3,267,243,-209,-253
925,2,64,2068,-508,-197,0,-196,17,-368,-336,31,-2,24,1000,491,433,-510,-573,5,127,-184,1431,1218,-1180,-1347,0,3,276,248,-214,-255
935,2,64,2118,-588,-267,2,-232,14,-557,-313,244,-19,-300,1000,592,570,-785,-785,5,138,-106,1652,1410,-1366,-1563,0,3,284,257,-235,-280
945,2,64,2167,-668,-330,-14,-279,12,-628,-335,293,-37,-282,1000,697,809,-935,-946,5,108,-106,1861,1590,-1560,-1788,0,3,292,263,-236,-274
955,2,64,2209,-748,-378,3,-343,1,-497,-425,71,-66,-128,1000,845,999,-1117,-937,4,104,-79,2079,1778,-1749,-2008,0,3,299,275,-250,-291
965,2,64,2228,-828,-408,17,-384,-2,-395,-368,26,-22,84,1000,1087,964,-1071,-1045,4,142,-132,2306,1977,-1928,-2217,0,3,307,281,-248,-295
975,2,64,2235,-908,-447,-1,-415,15,-371,-272,99,-15,84,1000,1160,1069,-1115,-1219,4,185,-190,2535,2176,-2105,-2425,0,3,309,279,-246,-289
985,2,64,2238,-988,-528,1,-472,4,-684,-383,301,-55,-104,1000,1258,1311,-1456,-1391,4,190,-172,2755,2367,-2292,-2643,0,3,313,286,-254,-294
995,2,64,2239,-1068,-615,-6,-538,3,-811,-428,383,-86,35,1000,1458,1654,-1669,-1532,4,178,-129,2970,2553,-2483,-2864,0,3,319,293,-258,-293
1005,2,64,2240,-1148,-628,-6,-585,5,-372,-333,39,-58,-51,1000,1533,1596,-1654,-1651,4,190,-129,3191,2745,-2669,-3080,0,3,322,293,-262,-300
1015,2,64,2240,-1228,-661,-1,-625,-5,-344,-298,46,-27,-151,1000,1683,1569,-1684,-1810,3,180,-92,3407,2931,-2860,-3302,0,3,326,295,-266,-308
1025,2,0,1465,-712,-718,-12,-671,-7,-473,-316,0,-33,285,1000,1909,1846,-1702,-1869,-15,-111,-113,1887,1686,-1670,-2001,0,3,77,80,-49,-64
1035,2,193,1483,-653,-818,-134,-730,2,-725,-327,-417,-162,1085,1000,1857,2875,-1789,-1919,-13,18,-181,1761,1576,-1502,-1805,0,3,38,39,0,37
1045,2,197,1520,-573,-677,-148,-771,5,553,-387,933,-154,1369,1000,1520,2612,-1345,-1519,-12,243,-233,1602,1440,-1261,-1527,0,3,34,31,14,55
1055,2,196,1565,-493,-554,-13,-754,-11,941,7,949,-62,742,1000,1521,1660,-1264,-1238,-10,295,-74,1400,1260,-1063,-1292,0,3,-36,-19,57,69
1065,2,196,1613,-413,-453,53,-704,-17,995,289,721,-59,621,1000,1396,1273,-1163,-826,-8,167,107,1153,1036,-911,-1102,0,3,-72,-39,61,58
1075,2,192,1661,-333,-432,90,-679,-19,498,243,266,-35,663,1000,1489,1107,-1106,-718,-7,81,188,916,822,-748,-902,0,3,-73,-36,70,60
1085,2,192,1687,-253,-409,27,-655,-9,344,269,70,-8,165,1000,1265,1033,-937,-937,-5,47,282,692,620,-572,-689,0,3,-81,-56,69,70
1095,2,192,1698,-173,-379,44,-610,-3,332,372,-38,-18,168,1000,1203,954,-924,-789,-3,-27,315,458,409,-406,-486,0,3,-83,-54,71,69
1105,2,192,1604,-93,-360,19,-574,-24,291,356,-66,-45,-80,1000,982,975,-946,-789,-1,-55,317,236,210,-228,-271,0,3,-29,-7,24,23
1115,2,192,1300,-14,-309,-18,-551,-22,367,273,89,-39,-446,1000,699,847,-808,-821,0,-89,347,17,13,-56,-63,0,3,-38,-24,18,23
1125,2,64,1177,0,-328,-3,-509,-4,36,270,0,-16,-226,1000,888,857,-774,-833,0,-130,363,-32,-32,-32,-32,0,3,-32,-24,0,-3
1135,2,64,1127,0,-333,2,-428,-9,-1,352,0,1,-133,1000,972,829,-735,-857,0,-152,345,-38,-38,-38,-38,0,3,-29,-23,10,6
1145,2,64,1106,0,-335,21,-384,-13,9,271,0,13,-70,1000,1038,756,-758,-853,0,-172,272,-43,-43,-43,-43,0,3,-27,-17,9,0
1156,2,64,1098,0,-301,14,-372,16,211,72,0,14,83,1000,954,714,-635,-753,0,-159,209,-39,-39,-39,-39,0,3,-30,-22,12,6
1166,2,64,1095,0,-274,20,-354,10,237,-1,0,4,40,1000,847,635,-635,-673,0,-146,151,-36,-36,-36,-36,0,3,-33,-23,12,4
1176,2,64,1093,0,-257,25,-301,14,192,204,0,5,-81,1000,781,553,-635,-650,0,-131,151,-32,-32,-32,-32,0,3,-35,-24,9,0
1186,2,64,1093,0,-237,32,-260,26,192,270,0,10,-11,1000,771,492,-576,-575,0,-144,152,-36,-36,-36,-36,0,3,-36,-23,11,0
1196,2,64,1093,0,-227,41,-239,15,155,206,0,2,-89,1000,712,437,-622,-541,0,-134,113,-33,-33,-33,-33,0,3,-38,-23,14,1
1206,2,64,1092,0,-215,24,-221,29,136,176,0,17,43,1000,691,427,-502,-558,0,-98,35,-24,-24,-24,-24,0,3,-38,-28,20,14
1216,2,0,1092,0,-184,24,-208,31,248,119,0,5,-69,1000,540,342,-500,-490,0,-71,-16,-17,-17,-17,-17,0,3,-32,-22,20,15
1226,2,0,1092,0,-160,24,-181,24,242,173,0,3,-18,1000,477,295,-441,-412,0,-57,-38,-14,-14,-14,-14,0,3,-28,-18,19,14
1236,2,0,1092,0,-163,38,-151,27,77,241,0,15,-7,1000,542,247,-448,-415,0,-58,-32,-14,-14,-14,-14,0,3,-31,-17,22,13
1246,2,0,1092,0,-148,38,-142,28,107,156,0,11,-55,1000,487,215,-429,-375,0,-67,-12,-16,-16,-16,-16,0,3,-32,-18,20,10
1256,2,0,1092,0,-135,26,-134,27,118,115,0,2,9,1000,423,248,-379,-327,0,-61,-20,-15,-15,-15,-15,0,3,-29,-17,18,11
1266,2,0,1092,0,-118,29,-116,26,150,163,0,-3,-56,1000,359,202,-373,-275,0,-69,-3,-17,-17,-17,-17,0,3,-29,-17,17,8
1276,2,0,1092,0,-105,29,-101,24,152,159,0,6,32,1000,373,181,-284,-227,0,-91,36,-22,-22,-22,-22,0,3,-31,-18,13,3
1286,2,0,1092,0,-95,26,-93,24,121,116,0,0,0,1000,316,170,-280,-202,0,-88,27,-22,-22,-22,-22,0,3,-29,-18,13,3
1296,2,0,1092,0,-80,25,-82,21,154,119,0,3,-67,1000,249,97,-266,-203,0,-62,-34,-15,-15,-15,-15,0,3,-12,-3,24,18
1306,2,0,1092,0,-76,24,-69,18,74,126,0,3,27,1000,250,102,-244,-183,0,-31,-81,-7,-7,-7,-7,0,3,-10,-1,26,20
1316,2,0,1092,0,-60,16,-61,16,116,100,0,0,70,1000,192,98,-183,-138,0,-20,-86,-5,-5,-5,-5,0,3,-16,-8,15,10
1326,2,0,1092,0,-50,16,-54,13,116,78,0,4,26,1000,171,61,-155,-125,0,-28,-58,-7,-7,-7,-7,0,3,-17,-8,14,7
2096,3,64,1813,-77,-77,-6,-75,-12,24,41,57,2,34,1000,223,209,-145,-211,33,-48,35,263,92,-273,-160,0,3,215,-124,-199,113
2106,3,196,1847,-75,-93,63,-75,0,-80,35,431,7,50,1000,419,78,-324,-123,113,-64,57,406,-104,-461,-6,0,3,211,-165,-203,140
2116,3,64,1891,-73,-75,77,-79,41,72,-11,71,15,68,1000,436,2,-275,-44,193,-104,119,544,-308,-654,142,0,3,215,-193,-211,167
2126,3,64,1939,-71,-64,80,-78,79,105,-13,-149,23,76,1000,452,-22,-208,1,273,-162,216,676,-516,-853,286,0,3,210,-205,-221,172
2136,3,64,1988,-69,-63,104,-66,110,24,45,-134,5,1,1000,462,-32,-304,90,353,-223,306,808,-725,-1051,430,0,3,207,-213,-230,184
2146,3,64,2037,-67,-49,139,-57,132,104,61,47,9,55,1000,522,-136,-318,211,433,-282,347,941,-933,-1250,574,0,3,230,-249,-248,225
2157,3,64,2088,-65,-49,164,-53,157,52,34,18,12,89,1000,589,-190,-360,266,513,-319,363,1080,-1137,-1444,724,0,3,237,-270,-259,233
2167,3,64,2137,-63,-64,210,-49,187,-85,46,152,24,159,1000,771,-267,-450,310,593,-361,389,1216,-1340,-1637,871,0,3,232,-281,-265,229
2177,3,64,2187,-60,-65,241,-50,217,-22,39,97,29,229,1000,864,-329,-491,378,673,-403,408,1353,-1544,-1831,1020,0,3,235,-288,-271,232
2187,3,64,2237,-58,-36,275,-49,239,152,6,174,17,159,1000,805,-462,-547,533,753,-439,415,1491,-1746,-2024,1170,0,3,242,-295,-282,237
2197,3,64,2287,-56,-57,323,-42,274,-84,42,237,10,112,1000,935,-517,-733,577,833,-482,437,1627,-1951,-2218,1317,0,3,237,-304,-289,236
2207,3,64,2338,-54,-46,350,-38,314,57,59,100,36,185,1000,1041,-643,-681,629,913,-535,472,1761,-2157,-2415,1463,0,3,241,-314,-296,237
2217,3,64,2388,-52,-48,370,-40,343,10,14,53,24,-69,1000,1008,-708,-810,639,993,-588,527,1895,-2364,-2612,1608,0,3,235,-321,-305,232
2227,3,64,2438,-50,-50,418,-44,382,1,-11,107,41,80,1000,1167,-829,-860,717,1073,-637,487,2031,-2570,-2808,1755,0,3,250,-330,-311,247
2237,3,64,2488,-48,-24,437,-40,419,159,-4,20,17,-49,1000,1031,-928,-959,820,1153,-657,403,2173,-2769,-2997,1909,0,3,253,-335,-321,249
2247,3,196,2538,-46,-42,546,-40,443,-4,-15,483,57,-103,1000,1339,-1274,-1188,863,1233,-634,331,2326,-2956,-3175,2073,0,3,270,-355,-334,266
2257,3,64,2588,-44,-26,559,-42,483,60,-48,163,22,-290,1000,1175,-1323,-1336,938,1313,-641,244,2471,-3152,-3360,2230,0,3,269,-360,-345,267
2267,3,64,2638,-42,-30,602,-43,524,51,-35,64,93,349,1000,1541,-1471,-1154,976,1394,-614,78,2626,-3340,-3538,2397,0,3,291,-368,-343,283
2277,3,64,2688,-39,-44,621,-25,576,-70,97,-34,113,1129,1000,1809,-1383,-1031,1084,1474,-537,-97,2793,-3514,-3703,2574,0,3,308,-373,-344,301
2287,3,64,2738,-37,-83,673,-20,605,-221,168,218,97,845,1000,1910,-1444,-1357,1038,1554,-446,-97,2962,-3685,-3863,2756,0,3,314,-381,-349,313
2297,3,196,2788,-35,-29,721,-10,592,187,150,448,74,257,1000,1643,-1787,-1558,1167,1633,-405,-150,3119,-3867,-4036,2924,0,3,325,-397,-373,321
2307,3,197,2832,-33,-1,874,-39,643,263,-102,853,189,-921,1000,1807,-2801,-1870,988,1713,-379,-175,3273,-4054,-4213,3089,0,3,334,-422,-386,316
2317,3,197,1903,127,127,1127,-83,685,880,-301,1675,343,-2178,1000,1976,-4376,-2074,1204,1127,-87,-87,3411,-4257,-4406,3238,0,3,335,-434,-394,288
2327,3,193,1918,121,131,1104,-78,697,400,-77,-312,313,-1666,1000,2018,-4091,-1923,1396,1076,-198,51,1675,-2872,-2299,2339,0,3,-65,-51,-6,-96
2337,3,197,1954,112,18,655,-54,721,-569,119,2745,156,-1339,1000,1162,-2347,-1486,599,996,-377,-148,1503,-2709,-2177,2118,0,3,-113,17,38,-127
2347,3,196,1998,103,-43,453,-89,672,-530,-178,1921,86,-1062,1000,813,-1540,-1317,204,917,-364,-372,1379,-2496,-2008,1945,0,3,-130,98,112,-138
