"no","dir","向き","回","t_s","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","状態","電池V"
"1","0","前(+x)","1","0.002","2.48","4.54","2.08","滑り始め","0.823","1.69","3.75","1.55","滑り始め","1","23"
"2","1","後(-x)","1","0.726","2.46","4.48","2.31","滑り始め","1.104","1.85","5.93","1.71","滑り始め","1","23"
"3","2","左(+y)","1","1.949","1.96","3.32","2.11","滑り始め","0.344","1.6","2.98","0","滑らず停止","1","23"
"4","3","右(-y)","1","2.49","2.65","3.37","2.6","滑り始め","0.911","2.06","6.16","1.92","滑り始め","1","23"
"5","4","左前","1","3.869","2.68","4.68","2.44","滑り始め","0.732","1.93","3.33","1.81","滑り始め","1","23"
"6","5","右後","1","4.728","2.95","5.46","2.77","電圧の余裕なし","1.086","2.17","4.94","2.03","滑り始め","1","23"
"7","6","右前","1","6.115","2.89","5.82","2.57","滑り始め","0.937","1.97","5.55","0","滑らず停止","1","23"
"8","7","左後","1","7.004","2.69","4.45","2.52","滑り始め","0.789","1.95","5.74","0","滑らず停止","1","23"
"9","8","左回り","1","8.162","2.2","151.1","0","速度の上限","12.208","2.37","132","0","滑らず停止","1","23"
"10","9","右回り","1","8.838","2.12","150.2","0","速度の上限","12.668","2.37","129.9","0","滑らず停止","1","22"
"11","0","前(+x)","2","9.791","2.4","4.21","2.2","滑り始め","0.988","1.77","3.75","1.63","滑り始め","1","23"
"12","1","後(-x)","2","10.549","2.38","4.71","2.23","滑り始め","0.673","1.71","4.27","1.66","滑り始め","1","23"
"13","2","左(+y)","2","11.528","1.95","3.49","2.19","滑り始め","0.424","1.67","4.09","0","滑らず停止","1","23"
"14","3","右(-y)","2","12.1","2.03","2.66","2.23","滑り始め","0.468","1.72","4.03","0","滑らず停止","1","23"
"15","4","左前","2","12.858","2.85","4.94","2.72","滑り始め","0.908","2.05","4.69","2","滑り始め","1","22"
"16","5","右後","2","13.781","2.48","3.63","2.25","滑り始め","0.568","1.72","2.35","0","滑らず停止","1","23"
"17","6","右前","2","15.159","3.04","6.39","0","電圧の余裕なし","0.995","2.35","5.49","2.23","滑り始め","1","23"
"18","7","左後","2","16.068","3.2","4.63","0","電圧の余裕なし","1.133","2.47","4.6","2.33","滑り始め","1","23"
"19","8","左回り","2","17.748","2.16","148.6","0","速度の上限","12.082","1.75","89.1","1.61","滑り始め","1","23"
"20","9","右回り","2","18.607","2.12","148.4","0","速度の上限","12.369","1.72","86.9","1.58","滑り始め","1","23"
"21","2","左(+y)","3","19.875","2.44","2.82","2.51","滑り始め","0.734","1.99","3.85","1.86","滑り始め","1","23"
"22","3","右(-y)","3","20.553","2.77","3.69","2.73","速度の上限","1.203","2.14","4.28","2.01","滑り始め","1","23"
"23","4","左前","3","22.056","2.86","5.95","0","電圧の余裕なし","1.121","2.33","6.8","2.2","滑り始め","1","23"
"24","5","右後","3","22.949","2.91","4.41","2.74","滑り始め","0.897","2.07","4.61","2.02","滑り始め","1","23"
