"no","dir","向き","回","t_s","v0","加速_ピークV","加速_ピーク加速度","加速_滑り始めV","加速_終わり","加速_速度","加速距離","助走距離","減速_ピークV","減速_ピーク加速度","減速_滑り始めV","減速_終わり","ブレーキ開始速度","停止距離","平均減速度","状態","電池V"
"1","0","前(+x)","1","1.132","1","1.95","4.24","1.83","滑り始め","1.267","0.158","0.182","2.21","5.74","2.02","滑り始め","1.267","0.327","2.45","1","24"
"2","1","後(-x)","1","3.596","1","1.92","5.65","0","電圧の余裕なし","1.258","0.174","0.14","2.62","5.66","0","滑らず停止","1.258","0.269","2.94","1","24"
"3","2","左(+y)","1","6.106","1","1.92","3.38","2.01","滑り始め","1.142","0.176","0.44","1.92","4.23","1.58","滑り始め","1.142","0.322","2.03","1","23"
"4","3","右(-y)","1","8.855","1","2.21","3.44","2.22","滑り始め","1.096","0.203","0.139","1.74","5.14","1.75","滑り始め","1.096","0.28","2.15","1","23"
"5","4","左前","1","11.96","1.5","1.93","4.58","0","電圧の余裕なし","1.532","0.219","0.322","1.7","5.59","0","滑らず停止","1.532","0.481","2.44","1","24"
"6","5","右後","1","15.301","1.5","2.01","5.06","1.94","滑り始め","1.526","0.222","0.394","1.89","5.86","1.58","滑り始め","1.526","0.666","1.75","1","24"
"7","6","右前","1","19.062","1.5","1.96","5.08","0","電圧の余裕なし","1.668","0.244","0.384","1.9","4.29","1.58","滑り始め","1.668","0.742","1.87","1","23"
"8","7","左後","1","22.428","1.5","1.98","4.02","0","電圧の余裕なし","1.576","0.19","0.374","2.74","6.03","0","滑らず停止","1.576","0.493","2.52","1","23"
"9","0","前(+x)","2","26.493","1","2.01","4.49","2.09","電圧の余裕なし","1.243","0.177","0.18","2.13","6.97","1.92","滑り始め","1.243","0.331","2.33","1","23"
"10","1","後(-x)","2","28.952","1","1.92","4.51","0","電圧の余裕なし","1.268","0.143","0.182","1.92","4.11","1.58","滑り始め","1.268","0.396","2.03","1","23"
"11","2","左(+y)","2","31.907","1","2.01","3.2","1.9","滑り始め","1.039","0.146","0.161","1.91","4.08","1.59","滑り始め","1.039","0.259","2.08","1","23"
"12","3","右(-y)","2","34.623","1","1.97","2.8","2.1","滑り始め","1.131","0.19","0.536","1.9","4.61","1.58","滑り始め","1.131","0.313","2.04","1","23"
"13","4","左前","2","37.835","1.5","1.91","4.63","0","電圧の余裕なし","1.573","0.22","0.296","1.93","5.84","0","滑らず停止","1.573","0.488","2.54","1","24"
"14","5","右後","2","41.212","1.5","1.85","3.22","0","電圧の余裕なし","1.597","0.25","0.404","2.88","4.9","2.7","滑り始め","1.597","0.532","2.4","1","24"
"15","6","右前","2","44.803","1.5","2.13","4.56","0","電圧の余裕なし","1.561","0.232","0.393","2.47","6.85","0","滑らず停止","1.561","0.46","2.65","1","23"
"16","7","左後","2","48.173","1.5","2.13","6.3","0","電圧の余裕なし","1.626","0.239","0.423","1.97","4.38","1.65","滑り始め","1.626","0.711","1.86","1","23"
