t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
20789,23,196,1057,1039,1030,-29,956,-18,378,-75,454,-62,-128,1000,-3016,-2220,2331,2879,-2,1,77,-2844,-2444,2457,2834,0,0,-258,-234,203,256
20809,23,64,1230,1200,1095,-62,1003,-31,141,282,-141,-59,-741,1000,-3412,-2462,2409,2825,-2,0,45,-3283,-2824,2836,3273,0,0,-274,-254,213,274
20829,23,192,1425,1360,1206,41,1056,-5,152,125,27,-68,-1093,1000,-3600,-3012,2338,3284,-2,-56,140,-3732,-3214,3197,3695,0,0,-324,-280,245,291
20849,23,192,1625,1520,1216,137,1118,-38,241,313,-71,-66,171,1000,-3229,-3059,2349,3696,-2,118,-290,-4125,-3549,3617,4176,0,0,-311,-255,284,318
20869,23,192,1796,1680,1350,70,1143,-57,359,154,204,-78,1022,1000,-3507,-2942,3034,4204,-1,151,-172,-4554,-3918,4002,4622,0,0,-354,-300,306,355
20889,23,196,1910,1840,1487,55,1182,-3,770,225,543,-116,-729,1000,-4390,-3537,2899,4230,-1,121,-18,-4998,-4304,4372,5052,0,0,-395,-336,299,353
20909,23,193,2013,2000,1646,182,1254,-51,608,274,334,-224,1736,1000,-4282,-3414,3238,5667,-1,162,-365,-5424,-4671,4759,5500,0,0,-384,-294,346,393
20929,23,193,1003,1816,1872,-19,1300,1,1305,314,-995,-324,-688,1000,-6014,-3734,3486,5598,-11,18,6,-4977,-4249,4313,4941,0,1,-156,-127,100,150
20949,23,197,1155,1666,1416,-89,1363,-17,-1596,255,1853,-230,510,1000,-4431,-2458,3079,4291,-10,203,-108,-4519,-3851,4003,4580,0,1,-74,-71,52,107
20969,23,196,1380,1506,1229,-25,1333,-27,-911,-141,770,-17,-215,1000,-3514,-2864,2848,3277,-9,195,-60,-4082,-3478,3621,4142,0,1,-18,-33,10,26
20990,23,196,1618,1346,1039,50,1270,-4,-1090,-260,831,-20,333,1000,-2723,-2457,2345,3040,-8,219,-84,-3637,-3097,3248,3713,0,1,26,20,-19,-26
21010,23,192,1858,1186,963,44,1215,-19,-411,-313,98,-93,118,1000,-2742,-2138,1937,2918,-7,247,-102,-3191,-2716,2875,3285,0,1,47,40,-48,-53
21030,23,196,2041,1025,853,15,1158,2,-824,-230,593,-80,-136,1000,-2530,-1907,1717,2472,-6,266,-97,-2745,-2334,2499,2853,0,1,77,59,-69,-70
21050,23,193,2167,865,750,7,1050,-7,-294,-578,-284,-188,445,1000,-2355,-1237,1367,2546,-5,303,-117,-2297,-1950,2128,2427,0,1,93,76,-82,-76
21070,23,196,2205,705,676,-10,987,14,-620,-217,400,-60,-266,1000,-2085,-1506,1383,1869,-4,288,-81,-1863,-1580,1746,1990,0,1,102,75,-85,-80
21090,23,193,1928,545,559,-86,875,17,-406,-597,-194,-213,926,1000,-1952,-389,1189,2016,-3,325,-139,-1415,-1196,1375,1564,0,1,67,47,-48,-6
21110,23,192,1835,385,606,40,838,11,111,-182,-289,-126,-26,1000,-1881,-1244,992,1973,-2,334,-97,-974,-819,998,1131,0,1,69,64,-61,-54
21130,23,192,1820,225,510,-32,670,3,-471,-512,-42,-131,564,1000,-1599,-664,1092,1750,-1,295,-15,-545,-454,608,686,0,1,79,62,-70,-48
21150,23,64,1818,65,478,-49,534,-29,-23,-286,-261,-117,632,1000,-1507,-577,1098,1603,0,325,-58,-98,-71,236,259,0,1,82,66,-63,-36
21170,23,0,1817,0,421,-28,453,-27,-344,-351,0,-110,549,1000,-1311,-524,917,1461,0,316,-31,79,79,79,79,0,1,87,72,-26,-16
21190,23,0,1817,0,381,-30,359,-17,27,-355,0,-113,626,1000,-1146,-350,887,1421,0,269,157,67,67,67,67,0,1,57,46,-46,-40
21210,23,0,1817,0,362,46,350,0,-219,-183,0,-30,32,1000,-855,-775,781,1254,0,55,413,13,13,13,13,0,1,22,32,-56,-79
21230,23,0,1817,0,338,35,285,11,-66,-387,0,-30,-89,1000,-885,-773,671,1091,0,16,224,4,4,4,4,0,1,49,52,-35,-51
21250,23,0,1817,0,267,37,279,18,-326,-107,0,-20,-3,1000,-658,-624,535,888,0,73,178,18,18,18,18,0,1,33,41,-37,-54
21270,23,0,1817,0,234,31,199,26,-191,-422,0,-29,-56,1000,-590,-498,456,816,0,-4,268,-1,-1,-1,-1,0,1,25,32,-40,-58
21290,23,0,1817,0,193,46,188,41,-216,-136,0,-6,-74,1000,-419,-512,364,664,0,-20,213,-5,-5,-5,-5,0,1,19,31,-35,-58
21311,23,0,1817,0,161,41,141,36,-139,-243,0,-15,-10,1000,-366,-412,271,583,0,0,123,0,0,0,0,0,1,24,34,-28,-48
21331,23,0,1817,0,118,42,124,43,-209,-136,0,-12,-55,1000,-258,-339,158,442,0,-1,96,0,0,0,0,0,1,19,32,-23,-45
21351,23,0,1817,0,89,27,82,31,-151,-194,0,-10,-112,1000,-227,-261,110,309,0,0,67,0,0,0,0,0,1,19,28,-23,-40
21371,23,0,1817,0,56,24,56,22,-183,-163,0,-5,34,1000,-122,-180,63,209,0,54,-42,13,13,13,13,0,1,23,32,-14,-28
23311,24,196,1064,-1082,-1043,-49,-968,-16,-293,264,554,54,5,1000,2900,2470,-2180,-3034,-39,-83,106,2858,2624,-2477,-3052,0,3,245,219,-219,-262
23331,24,196,1239,-1242,-1182,-87,-1057,-25,-797,-351,445,-76,575,1000,3057,3339,-2613,-3076,-36,-74,53,3303,2995,-2860,-3480,0,3,279,252,-250,-272
