"run","result","traction","max_accel","max_ang","seg","dur","slip","lim","vmax","s_acc","acc_ms","gap","gap_fr","cross","over","h_over","end_d","end_h","st","batt"
"1","最後まで","2.8","5","38","1","1.272","69.8","9.9","2.424","3.07","870","138","21","25","6","2.1","9","0.2","1","23"
"1","最後まで","2.8","5","38","2","1.224","54.9","7.2","2.675","2.65","849","122","20.4","10","11","2.3","11","-0.6","1","23"
"1","最後まで","2.8","5","38","3","1.399","52","30.5","2.338","2.42","988","135","21.2","24","12","2.5","13","0.7","1","23"
"1","最後まで","2.8","5","38","4","2.067","71.5","26.1","2.995","3.12","1187","97","13.7","56","6","3","7","-0.9","1","23"
"1","最後まで","2.8","5","38","5","1.459","58.8","27.3","2.323","2.63","1029","145","21.1","37","5","4.9","5","0.3","1","23"
"1","最後まで","2.8","5","38","6","1.751","29.6","46.5","2.083","1.43","966","42","1.2","16","48","4.3","21","-0.7","1","23"
"1","最後まで","2.8","5","38","7","1.338","37.6","48.6","2.053","1.75","937","42","0.3","56","20","2.9","22","-0.2","1","23"
"1","最後まで","2.8","5","38","8","1.889","17.7","38","1.892","1.63","1116","29","0.2","26","48","2.5","23","0.4","1","23"
"1","最後まで","2.8","5","38","9","1.336","25.7","47.4","2.151","1.52","1041","25","0","67","17","4","20","-1","1","23"
"1","最後まで","2.8","5","38","10","1.136","0","0","0.133","0","0","0","0","0","0","0","5","2.2","1","23"
"1","最後まで","2.8","5","38","11","1.151","0","0","0.11","0","0","0","0","0","0","0","4","-2.1","1","23"
"1","最後まで","2.8","5","38","12","1.879","46.8","16.6","1.566","2.02","671","46","0","357","0","178.1","18","0","1","23"
"1","最後まで","2.8","5","38","13","1.812","71.8","18.3","2.664","2.52","602","89","4.7","355","0","180.1","14","0.2","1","23"
