t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
29,1,0,3500,104,72,14,25,0,374,71,303,-17,91,1000,-186,-139,116,287,0,0,0,-286,-246,247,285,0,0,-268,-239,224,268
59,1,133,3499,254,461,305,180,13,1618,427,1194,-305,3117,1000,-635,-361,305,3192,0,141,-345,-660,-564,635,730,0,1,-261,-161,276,244
89,1,128,3499,404,392,65,252,-30,-612,189,-826,-135,1436,1000,-982,-492,687,1737,1,525,-427,-971,-825,1082,1238,0,8,-253,-221,286,333
119,1,129,3499,554,564,126,352,-35,268,362,-95,-189,1664,1000,-1252,-704,1017,2641,3,529,149,-1375,-1183,1431,1654,0,8,-320,-261,266,288
149,1,133,3499,704,699,177,441,-54,742,323,421,-178,1817,1000,-1492,-1167,1244,3089,4,156,13,-1876,-1633,1689,1972,0,10,-337,-260,294,301
180,1,133,3499,854,910,229,552,-54,840,366,476,-281,3279,1000,-1904,-1249,1653,4269,5,254,-306,-2261,-1963,2066,2408,0,10,-327,-240,326,323
210,1,129,3499,1005,1053,-58,649,-28,678,379,293,-282,443,1000,-3400,-1454,2117,3559,5,415,325,-2628,-2278,2459,2859,0,12,-327,-314,277,350
240,1,129,3499,1155,1092,-123,741,-56,666,300,370,-175,-539,1000,-3641,-1894,2388,3076,5,115,357,-3115,-2708,2738,3195,0,13,-382,-372,266,350
270,1,129,3448,1305,1296,-252,851,-38,-495,329,-830,-341,-3927,1000,-5555,-2420,2003,2982,3,-256,713,-3620,-3149,3003,3507,0,14,-394,-407,244,352
300,1,133,3392,1455,1685,-173,929,14,1402,454,931,-510,-2478,1000,-6604,-2881,2539,4778,0,-361,156,-4064,-3519,3340,3882,0,14,-349,-347,277,366
330,1,129,3328,1605,1371,-115,960,37,-884,48,-968,-157,-365,1000,-4329,-2599,3087,3832,-5,-394,254,-4492,-3868,3698,4273,0,15,-453,-412,333,402
360,1,133,3256,1755,1963,-13,1387,0,1038,251,717,-579,690,1000,-6362,-2901,3486,6833,-13,-517,352,-4949,-4233,4040,4636,0,16,-436,-358,316,339
390,1,129,3183,1904,1799,-95,1637,-49,701,406,296,-342,-597,1000,-5996,-3337,3450,5293,-24,-433,-76,-5357,-4539,4440,5044,0,18,-445,-382,382,433
420,1,192,3101,2054,1812,168,1837,47,-697,83,-797,-131,1099,1000,-4711,-4146,3746,5749,-35,-134,-311,-5711,-4792,4892,5508,0,18,-488,-353,434,421
450,1,133,3010,2204,2343,26,1972,41,1212,386,829,-578,1355,1000,-7304,-3875,4308,7961,-45,-115,-243,-6133,-5118,5272,5903,0,18,-466,-365,392,409
481,1,193,2916,2354,2122,1,2050,44,453,390,70,-355,-235,1000,-6668,-4246,4000,6440,-53,-65,-237,-6546,-5439,5658,6309,0,19,-490,-389,405,445
511,1,193,2813,2504,2107,-25,2129,78,-317,194,-507,-175,59,1000,-6221,-4519,4550,6035,-56,30,-237,-6937,-5761,6043,6737,0,19,-490,-416,396,465
541,1,197,2707,2654,2394,140,2221,57,1435,255,1184,-253,1264,1000,-6550,-5086,4948,7611,-53,35,-215,-7340,-6121,6390,7153,0,19,-489,-383,412,452
571,1,132,2588,2693,2262,-78,2311,53,-253,336,650,-116,-113,1000,-6610,-4893,5198,6244,-53,13,-16,-7453,-6220,6477,7256,0,19,-288,-245,193,221
