Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C2, C5, C6",0603,6,0.1uF/50V,
"C10, C9",0805,2,4.7uF/50V,
"C11, C12, C13",0603,3,22uF/25V,
"C16, C17, C18, C19",0805,4,10uF/50V,
"C20, C21",CP_Radial_D6.3mm_P2.50mm,2,100uF/35V,
"C22, C24, C4, C7, C8",0603,5,1uF/50V,
C23,0603,1,10uF/25V,
C25,2220,1,0.47uF/500V,
"C26, C27",CP_Radial_D30.0mm_P10.00mm_SnapIn,2,1200uF/350V,
C28,0402,1,10nF/25V,
C3,0603,1,4.7uF/25V,
"D1, D2, D3, D5, D6, D7, D8, D9",LED,8,LED,
D4,D_SMA,1,US1M,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,Molex_SPOX_5268-05A_1x05_P2.50mm_Horizontal,1,MOLEX MINISPOX,
J2,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,Conn_01x07_Socket,
L1,L_Abracon_ASPI-4030S,1,4.7uF,
Q1,TO-252-3_TabPin2,1,Q_NMOS_GDS,
Q2,FDS2582(SOIC8),1,FDS2582,
"R1, R3",0603,2,10k,
"R10, R11, R8, R9",1206,4,30k/1W,
R12,0603,1,18.2k,
"R13, R7",0603,2,40.2k,
"R14, R15, R18, R20, R21, R22, R4, R5, R6",0603,9,1k,
R16,0805,1,12m,
R17,0603,1,280k,
R19,0603,1,1.3k,
R2,0603,1,71.5k,
"SW1, SW2",SW_SKRPACE010,2,SW_Push,
T1,WE-FB3751,1,750032052,
TP1,TestPoint_Pad_2.0x2.0mm,1,Vdd,
TP2,TestPoint_Pad_2.0x2.0mm,1,Vout,
TP3,TestPoint_Pad_2.0x2.0mm,1,Vds,
TP4,TestPoint_THTPad_D2.5mm_Drill1.2mm,1,GND,
TP5,TestPoint_Pad_2.0x2.0mm,1,6V,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U2,SOT-23,1,MCP1703AT,
U3,WSON-12-1EP_3x3mm_P0.5mm_EP1.5x2.5mm,1,LMR51450SDRRR,
U4,QFN-20-1EP_LT3751UFD,1,LT3751UFD,
