Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C19, C8",0603,4,4.7u,
"C10, C12, C16, C2, C23, C25, C3, C4, C5, C6, C7",0603,11,0.1u,
"C13, C15",0603,2,100n,
"C14, C20, C21, C22",0805,4,47u,
"C17, C18",0805,2,10u,
C24,CP_Elec_8x10.5,1,1000u,
C9,0603,1,1u,
"D10, D11, D13, D14, D3, D7, D8, D9",0603,8,LED,
D6,D_SOD-123,1,1N4148W,
"H1, H2_5, H2_4, H2_3, H2_2, H2, H4, H5",MountingHole_3.2mm_M3_DIN965_Pad_TopBottom,8,MountingHole_Pad,
J1,raspberreyPi_2_3,1,Raspberry_Pi_2_3,
J15,PinHeader_1x04_P2.54mm_Vertical,1,TFT3,
J16,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,CAN_CON,
J2,2816,1,fan,
J3,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal,1,MOLEX,
J5,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,Conn_01x05_Socket,
J6,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,Debug,
L1,IND_IHLP-4040DZ_VIS,1,4.7u,
LS1,SPKR_PKLCS1212E4001-R1,1,PKLCS1212E4001-R1,
"Q1, Q2",SOT-23-3,2,Q_NMOS_GSD,
"R1, R5, R7",0603,3,10k,
R10,0603,1,4.7k,
"R11, R12, R13, R14, R15, R16, R18, R19, R6",0603,9,1k,
"R17, R21, R3",0603,3,100k,
R2,0603,1,27k,
R20,0603,1,120,
R4,0603,1,19.1k,
"R8, R9",0603,2,2.2k,
ROTSW1,Nidec_Copal_SH-7010C,1,SW_Coded_SH-7070,
"SW1, SW5, SW6",SW_SKRPACE010,3,SW_MEC_5E,
SW2,SW_PUSH_6mm_H7.3mm,1,Ras_1,
SW3,SW_PUSH_6mm_H7.3mm,1,Ras_2,
SW4,slideSW,1,SW_Wuerth_450301014042,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
U10,PinHeader_1x10_P2.54mm_Vertical,1,MPU9250,
U2,DRR0012E-IPC_A,1,LMR51460FSQDRRRQ1,
U3,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
U4,PinHeader_1x13_P2.54mm_Vertical,1,~,
U5,TSOT-23,1,MCP1703AT-3302E/CB,
U6,PinHeader_1x04_P2.54mm_Vertical,1,BNO055,
U7,05-08-1683_ADI,1,LTC4451AV-TRPBF,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
Y1,OSC_CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
