Designator,Mid X,Mid Y,Rotation,Layer
C1,230.45,-98.425,225.0,top
C10,176.7,-90.425,0.0,bottom
C11,185.2,-112.792506,90.0,top
C12,250.45,-106.175,0.0,bottom
C13,186.7,-112.792506,90.0,top
C14,178.45,-99.705,180.0,top
C15,178.45,-106.675,0.0,top
C16,216.95,-107.425,90.0,top
C17,203.14,-82.425,0.0,top
C18,203.14,-84.425,0.0,top
C19,183.7,-112.792506,90.0,top
C2,236.65988,-78.16512,225.0,top
C20,178.45,-97.675,180.0,top
C21,178.45,-95.675,180.0,top
C22,178.45,-101.675,180.0,top
C23,182.2,-62.425,180.0,bottom
C24,175.4,-82.925,180.0,bottom
C25,193.7,-78.175,0.0,top
C26,193.7,-79.675,0.0,top
C27,214.95,-89.425,180.0,top
C28,218.7,-84.675,270.0,top
C3,230.45,-98.425,135.0,bottom
C4,231.7,-99.675,45.0,top
C5,238.2,-87.925,225.0,bottom
C6,237.95,-79.425,225.0,top
C7,227.84012,-84.81512,315.0,top
C8,231.7,-99.675,315.0,bottom
C9,176.7,-88.925,0.0,bottom
D10,259.2,-104.925,180.0,top
D11,259.2,-107.925,180.0,top
D13,188.825,-63.925,0.0,top
D14,193.325,-63.925,0.0,top
D3,259.2,-106.425,180.0,top
D6,181.7,-113.575,90.0,bottom
D7,259.2,-100.175,180.0,top
D8,259.2,-101.675,180.0,top
D9,259.2,-103.175,180.0,top
J1,201.25,-91.615,0.0,top
J15,173.95,-97.86,0.0,top
J16,192.5,-118.0,180.0,bottom
J2,187.95,-83.925,180.0,bottom
J3,182.25,-118.0,0.0,bottom
J5,202.5,-118.0,180.0,bottom
J6,217.5,-118.0,180.0,bottom
L1,181.95,-101.6451,90.0,bottom
LS1,179.95,-81.925,180.0,top
Q1,171.3125,-77.425,180.0,top
Q2,171.3125,-86.425,180.0,top
R1,196.2,-80.675,90.0,bottom
R10,183.7,-112.817506,90.0,bottom
R11,185.2,-112.830006,270.0,bottom
R12,259.2,-100.175,0.0,bottom
R13,259.2,-101.675,0.0,bottom
R14,259.2,-103.175,0.0,bottom
R15,259.2,-104.925,0.0,bottom
R16,259.2,-107.925,0.0,bottom
R17,191.45,-71.925,270.0,bottom
R18,188.825,-63.925,180.0,bottom
R19,193.325,-63.925,180.0,bottom
R2,173.2,-107.925,180.0,top
R20,220.3375,-111.925,180.0,top
R21,173.2,-110.925,180.0,top
R3,178.45,-105.175,180.0,top
R4,173.2,-109.425,180.0,top
R5,229.7,-79.175,225.0,top
R6,259.2,-106.425,0.0,bottom
R7,178.45,-90.425,180.0,top
R8,228.45,-77.925,45.0,top
ROTSW1,253.16,-65.684,90.0,top
SW1,229.7,-61.675,0.0,top
SW2,237.95,-65.374,270.0,top
SW3,245.45,-65.374,270.0,top
U1,236.2,-89.925,225.0,top
U2,178.7,-112.233753,270.0,top
U3,234.2825,-124.33,0.0,top
U4,254.8,-96.6,180.0,top
U5,203.45,-87.175,0.0,top
U6,214.45,-84.475,0.0,top
U7,193.7,-72.425,0.0,top
U8,220.45,-107.425,180.0,top
U9,193.7,-85.675,0.0,top
Y1,232.1,-81.225,225.0,top
