Designator,Mid X,Mid Y,Rotation,Layer
C1_8,42.25,-50.75,180.0,top
C1_7,75.25,-50.75,180.0,top
C1_6,73.25,-119.25,0.0,top
C1_5,62.75,-119.25,0.0,top
C1_4,64.75,-50.75,180.0,top
C1_3,39.75,-119.25,0.0,top
C1_2,31.75,-50.75,180.0,top
C1,29.25,-119.25,0.0,top
D1_4,58.0,-73.750002,90.0,top
D1_3,47.000001,-73.749998,270.0,top
D1_2,47.034073,-96.249998,270.0,top
D1,58.034072,-96.250002,90.0,top
J1_8,30.5,-116.25,0.0,bottom
J1_7,63.5,-53.75,180.0,bottom
J1_6,30.5,-53.75,180.0,bottom
J1_5,74.0,-53.75,180.0,bottom
J1_4,74.5,-116.25,0.0,bottom
J1_3,41.0,-53.75,180.0,bottom
J1_2,41.0,-116.25,0.0,bottom
J1,64.0,-116.25,0.0,bottom
TP1_4,28.000001,-80.249998,270.0,top
TP1_3,77.0,-67.250002,90.0,top
TP1_2,77.034072,-89.750002,90.0,top
TP1,28.034073,-102.749998,270.0,top
TP2_4,79.5,-67.250002,90.0,top
TP2_3,79.534072,-89.750002,90.0,top
TP2_2,25.500001,-80.249998,270.0,top
TP2,25.534073,-102.749998,270.0,top
TP3_4,74.284072,-89.750002,90.0,top
TP3_3,74.25,-67.250002,90.0,top
TP3_2,30.750001,-80.249998,270.0,top
TP3,30.784073,-102.749998,270.0,top
TP4_4,28.000001,-80.249998,90.0,bottom
TP4_3,77.034072,-89.750002,270.0,bottom
TP4_2,28.034073,-102.749998,90.0,bottom
TP4,77.0,-67.250002,270.0,bottom
TP5_4,25.534073,-102.749998,270.0,bottom
TP5_3,25.500001,-80.249998,270.0,bottom
TP5_2,79.5,-67.250002,90.0,bottom
TP5,79.534072,-89.750002,90.0,bottom
TP6_4,74.25,-67.250002,90.0,bottom
TP6_3,74.284072,-89.750002,90.0,bottom
TP6_2,30.750001,-80.249998,270.0,bottom
TP6,30.784073,-102.749998,270.0,bottom
U1_8,64.0,-123.0,270.0,top
U1_7,30.5,-123.0,270.0,top
U1_6,41.0,-47.0,90.0,top
U1_5,63.5,-47.0,90.0,top
U1_4,74.0,-47.0,90.0,top
U1_3,41.0,-123.0,270.0,top
U1_2,30.5,-47.0,90.0,top
U1,74.5,-123.0,270.0,top
