Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.842,13.97,0.0,top
C10,-16.002,3.81,270.0,top
C100,16.002,19.05,90.0,top
C101,8.636,19.05,90.0,top
C102,10.16,19.05,90.0,top
C103,18.669,28.448,0.0,top
C104,4.699,18.796,90.0,top
C105,-4.699,18.796,90.0,top
C106,31.496,16.637,0.0,bottom
C107,31.496,13.335,0.0,bottom
C108,31.496,10.033,0.0,bottom
C109,31.496,19.939,0.0,bottom
C11,-8.636,3.81,270.0,top
C111,31.496,6.731,0.0,bottom
C113,31.496,26.543,0.0,bottom
C115,31.496,3.429,0.0,bottom
C117,31.496,23.241,0.0,bottom
C119,25.4,2.413,0.0,bottom
C12,-10.16,3.81,270.0,top
C120,25.4,11.557,0.0,bottom
C121,25.4,20.701,0.0,bottom
C122,13.97,3.81,270.0,top
C123,10.922,3.81,270.0,top
C124,5.842,8.89,180.0,top
C13,-18.669,28.448,180.0,top
C14,-4.699,1.778,270.0,top
C15,4.699,1.778,270.0,top
C16,-31.496,3.429,180.0,bottom
C17,-31.496,6.731,180.0,bottom
C18,-31.496,23.241,180.0,bottom
C19,-31.496,26.543,180.0,bottom
C2,-10.922,19.05,90.0,top
C20,-24.257,-8.001,180.0,bottom
C21,-31.496,19.939,180.0,bottom
C22,24.257,-21.971,0.0,bottom
C23,-31.496,10.033,180.0,bottom
C24,24.257,8.001,0.0,bottom
C25,-31.496,16.637,180.0,bottom
C26,-24.257,12.827,180.0,bottom
C27,-31.496,13.335,180.0,bottom
C28,-24.257,-17.145,180.0,bottom
C29,-25.4,27.432,180.0,bottom
C3,-13.97,19.05,90.0,top
C30,-25.4,18.288,180.0,bottom
C31,-25.4,9.144,180.0,bottom
C32,-18.034,-3.81,90.0,top
C33,-17.018,-3.81,90.0,top
C34,-5.842,-14.986,0.0,top
C35,-5.842,-16.002,0.0,top
C36,-11.684,-19.05,270.0,top
C37,24.257,-12.827,0.0,bottom
C38,-16.002,-19.05,270.0,top
C39,-8.636,-19.05,270.0,top
C4,-18.034,19.05,90.0,top
C40,-10.16,-19.05,270.0,top
C41,-18.669,-28.448,180.0,top
C42,-4.699,-18.796,270.0,top
C43,4.699,-18.796,270.0,top
C44,-31.496,-26.543,180.0,bottom
C45,-31.496,-23.241,180.0,bottom
C46,-31.496,-19.939,180.0,bottom
C47,-31.496,-10.033,180.0,bottom
C48,24.257,17.145,0.0,bottom
C49,-31.496,-13.335,180.0,bottom
C5,-17.018,19.05,90.0,top
C50,-24.257,3.683,180.0,bottom
C51,-31.496,-6.731,180.0,bottom
C52,-24.257,-26.289,180.0,bottom
C53,-31.496,-16.637,180.0,bottom
C54,24.257,-3.683,0.0,bottom
C55,-31.496,-3.429,180.0,bottom
C56,24.257,26.289,0.0,bottom
C57,-25.4,-2.413,180.0,bottom
C58,-25.4,-11.557,180.0,bottom
C59,-25.4,-20.701,180.0,bottom
C6,-5.842,7.874,0.0,top
C60,-13.97,-3.81,90.0,top
C61,-10.922,-3.81,90.0,top
C62,-5.842,-8.89,0.0,top
C63,18.034,-19.05,270.0,top
C64,17.018,-19.05,270.0,top
C65,5.842,-7.874,180.0,top
C66,5.842,-6.858,180.0,top
C67,11.684,-3.81,90.0,top
C69,16.002,-3.81,90.0,top
C7,-5.842,6.858,0.0,top
C70,8.636,-3.81,90.0,top
C71,10.16,-3.81,90.0,top
C72,18.669,-28.448,0.0,top
C73,4.699,-1.778,90.0,top
C74,-4.699,-1.778,90.0,top
C75,31.496,-26.543,0.0,bottom
C76,31.496,-23.241,0.0,bottom
C77,31.496,-16.637,0.0,bottom
C78,31.496,-13.335,0.0,bottom
C8,-11.684,3.81,270.0,top
C80,31.496,-19.939,0.0,bottom
C82,31.496,-10.033,0.0,bottom
C84,31.496,-6.731,0.0,bottom
C86,31.496,-3.429,0.0,bottom
C88,25.4,-27.432,0.0,bottom
C89,25.4,-18.288,0.0,bottom
C9,-24.257,21.971,180.0,bottom
C90,25.4,-9.144,0.0,bottom
C91,13.97,-19.05,270.0,top
C92,10.922,-19.05,270.0,top
C93,5.842,-13.97,180.0,top
C94,18.034,3.81,270.0,top
C95,17.018,3.81,270.0,top
C96,5.842,14.986,180.0,top
C97,5.842,16.002,180.0,top
C98,11.684,19.05,90.0,top
D1,-18.669,-29.972,0.0,top
D10,-3.429,-22.1875,270.0,top
D11,-38.735,23.622,180.0,top
D12,-6.731,-2.286,90.0,top
D13,-10.668,0.0,0.0,top
D14,-1.778,-8.763,180.0,top
D15,-1.778,-11.811,180.0,top
