Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C38, C64, C90",0603,6,10u,
"C100, C18, C20, C22, C44, C46, C48, C70, C72, C74, C96, C98",0805,12,0.1n,
"C101, C102, C103, C104, C105, C12, C13, C16, C23, C24, C25, C26, C27, C40, C41, C42, C49, C50, C51, C52, C53, C66, C67, C68, C75, C76, C77, C78, C79, C92, C93, C94",1210,32,10u,
"C106, C107, C108, C28, C29, C30, C37, C54, C55, C56, C63, C80, C81, C82, C89, C9",0402,16,1u,
"C109, C110, C111, C112",0603,4,0.1n,
"C11, C15, C2, C36, C39, C62, C65, C8, C88, C91",0603,10,0.1u,
"C113, C114, C115, C116",0603,4,2.2u,
"C17, C19, C21, C43, C45, C47, C69, C71, C73, C95, C97, C99",0805,12,2.2u,
"C3, C31, C33, C5, C57, C59, C83, C85",0402,8,10u,
"C32, C34, C4, C58, C6, C60, C84, C86",0402,8,0.1u,
"C35, C61, C7, C87",0603,4,220n,
"D1, D10, D14, D15, D16, D17, D2, D21, D22, D23, D24, D28, D29, D3, D30, D31, D33, D34, D37, D38, D4, D7, D8, D9",LED_1608_user_dif,24,LED,
"D11, D18, D25, D32",LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,4,LED_BRGK,
"D12, D13, D19, D20, D26, D27, D35, D36",D_SMA_UD,8,SMAJ51A,
"D5, D6",D_SOD-123F,2,D,
"FET1, FET10, FET11, FET12, FET2, FET3, FET4, FET5, FET6, FET7, FET8, FET9",SQJQ910EL-T1_GE3,12,SQJQ910EL-T1_GE3,
J1,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal_ud,1,BLDC1,
"J10, J11",PinHeader_1x04_P2.54mm_Vertical_ud,2,PCO_GND,
"J12, J13",PinHeader_1x04_P2.54mm_Vertical_ud,2,PCO_50V,
J14,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,1,MD_UART,
"J15, J16",PinHeader_1x03_P2.54mm_Vertical_UD,2,PCO_3V3,
J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,ENC1,
J3,JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,1,WRITE_CO,
J4,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal_ud,1,BLDC2,
J5,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,ENC2,
J6,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal_ud,1,BLDC3,
J7,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,ENC3,
J8,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal_ud,1,BLDC4,
J9,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,ENC4,
"L1, L2",IND_SRR6038-180Y,2,18uh,
"MCU1, MCU2, MCU3, MCU4",STSPIN32G4,4,STSPIN32G4,
"R1, R34, R65, R93",0402,4,22k,
"R10, R100, R101, R102, R11, R112, R113, R114, R115, R116, R117, R12, R13, R14, R25, R26, R27, R28, R29, R30, R39, R41, R42, R43, R44, R45, R55, R56, R58, R59, R60, R61, R69, R70, R71, R72, R73, R74, R84, R85, R86, R87, R88, R89, R9, R97, R98, R99",0402,48,1K,
"R103, R104, R105, R106, R107, R108, R15, R16, R17, R18, R19, R21, R46, R47, R48, R49, R50, R51, R75, R76, R77, R78, R79, R80",0402,24,51,
"R109, R110, R111, R22, R23, R24, R52, R53, R54, R81, R82, R83",2512,12,4m,
"R118, R119, R120, R31, R32, R33, R62, R63, R64, R90, R91, R92",0402,12,180k,
"R121, R122",0603,2,10k,
"R123, R124, R125, R126, R20, R37, R40, R57, R7, R8",0603,10,1k,
"R129, R5",0603,2,50K,
"R130, R6",0603,2,4.7k,
"R2, R3, R35, R36, R38, R4, R66, R67, R68, R94, R95, R96",0402,12,10k,
"SW1, SW2",CFS0201TB,2,SW_DIP_x02,
"SW3, SW4, SW5, SW6",SW_SKRPACE010_ud,4,SW_MEC_5E,
"U1, U2, U3, U4, U5",TSSOP-14_4.4x5mm_P0.65mm,5,CD74HC4066PWR,
"U6, U7, U8, U9",SOT-353_SC-70-5,4,TMP235AQDCKRQ1,
