Designator,Mid X,Mid Y,Rotation,Layer
C1,21.59,18.923,90.0,top
C10,-30.861,-19.304,0.0,top
C11,-5.334,3.556,270.0,top
C12,32.258,16.51,180.0,top
C13,-0.762,3.556,270.0,top
C14,7.112,13.208,0.0,top
C15,18.161,16.129,180.0,top
C16,43.561,-12.7,0.0,top
C17,16.891,26.797,270.0,top
C18,10.287,26.924,0.0,top
C19,7.112,11.684,0.0,top
C2,-26.289,-1.143,0.0,bottom
C20,19.939,26.797,90.0,top
C21,19.05,23.622,0.0,top
C22,18.415,26.797,90.0,top
C23,7.112,14.732,180.0,top
C24,26.289,-1.143,0.0,bottom
C25,31.623,23.622,270.0,top
C26,26.289,23.622,270.0,top
C27,-25.8195,-19.304,180.0,top
C28,43.561,5.08,0.0,top
C29,30.861,-25.781,180.0,top
C3,-7.112,13.716,0.0,top
C30,-43.561,-12.7,180.0,top
C31,25.781,-19.177,0.0,top
C32,-3.81,3.556,90.0,top
C33,-43.561,13.97,180.0,top
C34,-30.861,-22.606,0.0,top
C35,-43.561,-21.59,180.0,top
C36,25.781,-25.781,0.0,top
C37,43.561,-21.59,0.0,top
C38,30.861,-19.177,180.0,top
C39,43.561,-3.81,0.0,top
C4,1.524,17.78,90.0,top
C40,-30.861,-25.908,0.0,top
C41,-43.561,5.08,180.0,top
C42,30.861,-22.479,180.0,top
C43,43.561,13.97,0.0,top
C44,25.781,-22.479,0.0,top
C45,4.572,-10.16,90.0,top
C46,-12.7,5.08,0.0,top
C47,-14.986,-10.16,180.0,top
C48,-12.7,8.382,0.0,top
C49,5.334,3.556,270.0,top
C5,0.0,17.78,90.0,top
C50,0.762,3.556,270.0,top
C51,14.986,-19.05,0.0,top
C52,-12.7,1.778,0.0,top
C53,14.986,-10.16,0.0,top
C54,12.7,1.778,180.0,top
C55,3.81,3.556,90.0,top
C56,-4.572,-10.16,90.0,top
C57,12.7,5.08,180.0,top
C58,-14.986,-19.05,180.0,top
C59,12.7,8.382,180.0,top
