Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C17, C18, C19, C25, C26, C63, C67, C76",0603,11,0.1u,
C12,0603,1,4.7n,
"C2, C21, C23, C24, C66, C75",0603,6,2.2u,
"C20, C22",0603,2,4.7u,
"C33, C35, C37, C39, C41, C43",CAP_EEEFN1K470UP,6,68u,
"C34, C36, C38, C40, C42, C44, C46, C48, C52, C54, C57, C59, C62, C80",1210,14,10u,
"C45, C47, C51, C53, C56, C58",CAP_EEEFN1H181UP,6,220u,
"C64, C65, C73, C74",0805,4,4.7u,
"C68, C69, C70, C77, C78, C79",0603,6,22u,
"C71, C72",0805,2,10u,
"D10, D15, D16, D17, D18, D3, D4, D5, D6, D9",LED_1608_user_dif,10,LED,
"FET1, FET2",TSOT-23-6,2,FDC653N,
FL1,FIL_DLW32SH101XF2L,1,Choke_CommonMode_FerriteCore_1243,
"J1, J3, J4, J5",PinSocket_1x04_P2.54mm_Vertical,4,Conn_01x04_Socket,
"J10, J9",PinSocket_1x03_P2.54mm_Vertical_ud,2,Conn_01x03_Socket,
J11,Molex_SPOX_5268-05A_1x05_P2.50mm_Horizontal_ud,1,Conn_01x05_Socket,
"J12, J14, J15, J16",PinSocket_1x05_P2.54mm_Vertical,4,Conn_01x05_Socket,
J13,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal_ud,1,Conn_01x04_Socket,
J17,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
"J18, J19, J20, J21, J8",JST_PH_S7B-PH-K_1x07_P2.00mm_Horizontal,5,Conn_01x07_Socket,
"J2, J7",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Conn_01x02_Pin,
J6,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal_ud,1,Conn_01x02_Pin,
"L3, L4",74438366010,2,1u,
"R12, R13",0603,2,60,
R15,0603,1,50k,
"R18, R20",0402,2,300,
"R19, R21, R26, R35, R61, R65, R67",0402,7,10k,
"R27, R28, R29, R30",0402,4,1k,
"R33, R34, R64",0603,3,1k,
R62,0603,1,10k,
R63,0603,1,4.7k,
R66,0402,1,71k,
R68,0402,1,115k,
"SW1, SW2",SW_SKRPACE010,2,SW_MEC_5E,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
"U2, U4",SOT-353_SC-70-5,2,TMP235AQDCKRQ1,
U3,ST32H523CEU6,1,STM32H523CEU6,
"U5, U7",MAX20405AFOFVY,2,MAX20405AFOA/VY+,
U6,TSOT-23,1,MCP1703AT-3302E/CB,
Y1,CSTNE16M0V530000R0,1,CSTNE16M0V530000R0,
