Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C19, C23, C28, C29, C30, C31, C32, C33, C35, C36",0603,12,0.1u,
"C10, C11, C12, C13, C14, C15, C17, C18, C2, C20, C24, C26, C3, C4, C5, C6, C7, C8, C9",0805,19,10u,
C21,0805,1,0.1u,
C22,0603,1,1u,
C25,0805,1,1000pf,
"C27, C34",0603,2,4.7u,
"D1, D2, D3, D4",0603,4,LED,
F1,2512,1,Fuse,
F2,1812,1,Fuse,
J1,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
J3,Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
J4,JST_PH_B7B-PH-K_1x07_P2.00mm_Vertical,1,Conn_01x07_Pin,
"R1, R2, R3, R4",0402,4,0,
"R10, R12, R14, R18, R6, R7, R8",0402,7,10k,
"R11, R13, R15, R9",0402,4,200,
R16,2512,1,0.04,
R17,0402,1,7.5k,
"R19, R20, R30, R31",0603,4,0,
"R21, R22, R23, R28, R29",0603,5,10k,
"R24, R26, R27",0603,3,1k,
R25,0603,1,2k,
R5,0402,1,120,
REG1,SOT-23,1, MCP1703AT-3302E/CB,
"SW1, SW3",IS-1235-G,2,SW_Wuerth_450301014042,
"SW2, SW4",SW_SKRPACE010,2,SW_MEC_5E,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3051,
"U2, U3",SO-8_3.9x4.9mm_P1.27mm,2,STS8DN3LLH5,
U4,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,DRV8701,
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
Y1,CSTNE16M0V530000R0,1,Crystal_GND2,
